
="",="(1)",="",="",=""
="",="",="",="",=""
="",="2",="4",="5",="Total"

="age_1",="0",="0.152",="0",="0.124"
="",="0",="0.00215",="0",="0.00178"

="age_2",="0.000328",="0.171",="0",="0.140"
="",="0.000232",="0.00225",="0",="0.00187"

="age_3",="0.0366",="0.127",="0",="0.110"
="",="0.00240",="0.00199",="0",="0.00169"

="age_4",="0.132",="0.0608",="0.0335",="0.0732"
="",="0.00433",="0.00143",="0.0125",="0.00141"

="age_5",="0.126",="0.0443",="0.105",="0.0592"
="",="0.00426",="0.00123",="0.0213",="0.00127"

="age_6",="0.122",="0.0464",="0.172",="0.0606"
="",="0.00420",="0.00126",="0.0262",="0.00129"

="age_7",="0.111",="0.0473",="0.167",="0.0593"
="",="0.00402",="0.00127",="0.0259",="0.00127"

="age_8",="0.106",="0.0468",="0.139",="0.0578"
="",="0.00394",="0.00126",="0.0240",="0.00126"

="age_9",="0.0974",="0.0483",="0.0766",="0.0572"
="",="0.00380",="0.00128",="0.0184",="0.00125"

="age_10",="0.0819",="0.0524",="0.120",="0.0581"
="",="0.00351",="0.00133",="0.0225",="0.00126"

="age_11",="0.0902",="0.0644",="0.0766",="0.0691"
="",="0.00367",="0.00147",="0.0184",="0.00137"

="age_12",="0.0433",="0.0513",="0.0526",="0.0499"
="",="0.00261",="0.00132",="0.0155",="0.00117"

="age_13",="0.0289",="0.0361",="0.0287",="0.0348"
="",="0.00214",="0.00111",="0.0116",="0.000988"

="age_14",="0.0249",="0.0514",="0.0287",="0.0466"
="",="0.00200",="0.00132",="0.0116",="0.00114"

="N",="34360",="",="",=""

