
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="1",="0.00798",="0",="0.363",="0",="0.124"
="",="0",="0.000592",="0",="0.00453",="0",="0.00178"

="age_2",="0",="0.200",="0",="0.0263",="0.00748",="0.140"
="",="0",="0.00266",="0",="0.00151",="0.00431",="0.00187"

="age_3",="0",="0.166",="0",="0.00231",="0.0150",="0.110"
="",="0",="0.00248",="0",="0.000452",="0.00607",="0.00169"

="age_4",="0",="0.108",="0",="0.00479",="0.0549",="0.0732"
="",="0",="0.00207",="0",="0.000650",="0.0114",="0.00141"

="age_5",="0",="0.0832",="0",="0.0109",="0.0873",="0.0592"
="",="0",="0.00184",="0",="0.000978",="0.0141",="0.00127"

="age_6",="0",="0.0782",="0.0357",="0.0227",="0.145",="0.0606"
="",="0",="0.00179",="0.0176",="0.00140",="0.0176",="0.00129"

="age_7",="0",="0.0712",="0.0446",="0.0331",="0.127",="0.0593"
="",="0",="0.00171",="0.0196",="0.00168",="0.0167",="0.00127"

="age_8",="0",="0.0650",="0.0625",="0.0415",="0.110",="0.0578"
="",="0",="0.00164",="0.0230",="0.00188",="0.0156",="0.00126"

="age_9",="0",="0.0540",="0.0536",="0.0619",="0.105",="0.0572"
="",="0",="0.00150",="0.0214",="0.00227",="0.0153",="0.00125"

="age_10",="0",="0.0480",="0.107",="0.0765",="0.0948",="0.0581"
="",="0",="0.00142",="0.0294",="0.00250",="0.0146",="0.00126"

="age_11",="0",="0.0461",="0.232",="0.111",="0.130",="0.0691"
="",="0",="0.00140",="0.0401",="0.00296",="0.0168",="0.00137"

="age_12",="0",="0.0301",="0.214",="0.0879",="0.0499",="0.0499"
="",="0",="0.00114",="0.0389",="0.00267",="0.0109",="0.00117"

="age_13",="0",="0.0191",="0.125",="0.0655",="0.0274",="0.0348"
="",="0",="0.000912",="0.0314",="0.00233",="0.00817",="0.000988"

="age_14",="0",="0.0232",="0.125",="0.0926",="0.0474",="0.0466"
="",="0",="0.00100",="0.0314",="0.00273",="0.0106",="0.00114"

="N",="34360",="",="",="",="",=""

