
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="2",="3",="4",="5",="Total"

="age_1",="0",="0",="0.286",="0",="0.124"
="",="0",="0",="0.00370",="0",="0.00178"

="age_2",="0.0363",="0",="0.275",="0",="0.140"
="",="0.00135",="0",="0.00366",="0",="0.00187"

="age_3",="0.188",="0",="0.0134",="0.00625",="0.110"
="",="0.00283",="0",="0.000941",="0.00441",="0.00169"

="age_4",="0.129",="0",="0.00368",="0.0250",="0.0732"
="",="0.00243",="0",="0.000496",="0.00874",="0.00141"

="age_5",="0.0994",="0",="0.00730",="0.100",="0.0592"
="",="0.00217",="0",="0.000697",="0.0168",="0.00127"

="age_6",="0.0954",="0.0204",="0.0144",="0.156",="0.0606"
="",="0.00213",="0.0204",="0.000975",="0.0203",="0.00129"

="age_7",="0.0881",="0.0408",="0.0204",="0.159",="0.0593"
="",="0.00205",="0.0286",="0.00116",="0.0205",="0.00127"

="age_8",="0.0803",="0.0612",="0.0280",="0.113",="0.0578"
="",="0.00197",="0.0346",="0.00135",="0.0177",="0.00126"

="age_9",="0.0700",="0.102",="0.0400",="0.0906",="0.0572"
="",="0.00185",="0.0437",="0.00160",="0.0161",="0.00125"

="age_10",="0.0633",="0.102",="0.0501",="0.113",="0.0581"
="",="0.00176",="0.0437",="0.00178",="0.0177",="0.00126"

="age_11",="0.0610",="0.184",="0.0781",="0.113",="0.0691"
="",="0.00173",="0.0559",="0.00220",="0.0177",="0.00137"

="age_12",="0.0379",="0.224",="0.0644",="0.0563",="0.0499"
="",="0.00138",="0.0602",="0.00201",="0.0129",="0.00117"

="age_13",="0.0249",="0.184",="0.0471",="0.0250",="0.0348"
="",="0.00113",="0.0559",="0.00173",="0.00874",="0.000988"

="age_14",="0.0269",="0.0816",="0.0716",="0.0437",="0.0466"
="",="0.00117",="0.0395",="0.00211",="0.0115",="0.00114"

="N",="34360",="",="",="",=""

