
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.868",="0.00118",="0",="0.0256",="0.00585",="0.124"
="",="0.00490",="0.000216",="0",="0.00251",="0.00585",="0.00178"

="age_2",="0.132",="0.158",="0",="0.0433",="0",="0.140"
="",="0.00490",="0.00229",="0",="0.00324",="0",="0.00187"

="age_3",="0",="0.149",="0",="0.00101",="0",="0.110"
="",="0",="0.00223",="0",="0.000506",="0",="0.00169"

="age_4",="0",="0.0987",="0.0286",="0.00127",="0.0117",="0.0732"
="",="0",="0.00187",="0.0201",="0.000566",="0.00825",="0.00141"

="age_5",="0",="0.0791",="0.0143",="0.00481",="0.0351",="0.0592"
="",="0",="0.00169",="0.0143",="0.00110",="0.0141",="0.00127"

="age_6",="0",="0.0791",="0.0857",="0.0154",="0.0468",="0.0606"
="",="0",="0.00169",="0.0337",="0.00196",="0.0162",="0.00129"

="age_7",="0",="0.0750",="0.0571",="0.0276",="0.0994",="0.0593"
="",="0",="0.00165",="0.0279",="0.00261",="0.0229",="0.00127"

="age_8",="0",="0.0710",="0.214",="0.0393",="0.0760",="0.0578"
="",="0",="0.00161",="0.0494",="0.00309",="0.0203",="0.00126"

="age_9",="0",="0.0657",="0.100",="0.0691",="0.0994",="0.0572"
="",="0",="0.00155",="0.0361",="0.00404",="0.0229",="0.00125"

="age_10",="0",="0.0615",="0.114",="0.102",="0.123",="0.0581"
="",="0",="0.00151",="0.0383",="0.00482",="0.0252",="0.00126"

="age_11",="0",="0.0637",="0.143",="0.181",="0.193",="0.0691"
="",="0",="0.00153",="0.0421",="0.00613",="0.0303",="0.00137"

="age_12",="0",="0.0417",="0.100",="0.159",="0.111",="0.0499"
="",="0",="0.00125",="0.0361",="0.00582",="0.0241",="0.00117"

="age_13",="0",="0.0260",="0.0714",="0.130",="0.0877",="0.0348"
="",="0",="0.000999",="0.0310",="0.00536",="0.0217",="0.000988"

="age_14",="0",="0.0309",="0.0714",="0.200",="0.111",="0.0466"
="",="0",="0.00109",="0.0310",="0.00637",="0.0241",="0.00114"

="N",="34360",="",="",="",="",=""

