
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.554",="0",="0",="0.185",="0",="0.124"
="",="0.00600",="0",="0",="0.00773",="0",="0.00178"

="age_2",="0.442",="0.0626",="0",="0.0850",="0",="0.140"
="",="0.00599",="0.00154",="0",="0.00556",="0",="0.00187"

="age_3",="0.00291",="0.151",="0",="0.00675",="0",="0.110"
="",="0.000650",="0.00227",="0",="0.00163",="0",="0.00169"

="age_4",="0.000146",="0.101",="0",="0.000794",="0.0179",="0.0732"
="",="0.000146",="0.00191",="0",="0.000561",="0.0126",="0.00141"

="age_5",="0.000146",="0.0816",="0",="0.00318",="0.0179",="0.0592"
="",="0.000146",="0.00174",="0",="0.00112",="0.0126",="0.00127"

="age_6",="0.000291",="0.0831",="0.0208",="0.00715",="0.00893",="0.0606"
="",="0.000206",="0.00175",="0.0208",="0.00168",="0.00893",="0.00129"

="age_7",="0",="0.0804",="0",="0.0143",="0.0446",="0.0593"
="",="0",="0.00173",="0",="0.00237",="0.0196",="0.00127"

="age_8",="0.000146",="0.0780",="0.0417",="0.0171",="0.0625",="0.0578"
="",="0.000146",="0.00170",="0.0291",="0.00258",="0.0230",="0.00126"

="age_9",="0",="0.0745",="0.0208",="0.0417",="0.0982",="0.0572"
="",="0",="0.00167",="0.0208",="0.00398",="0.0282",="0.00125"

="age_10",="0.000146",="0.0729",="0.0833",="0.0691",="0.0625",="0.0581"
="",="0.000146",="0.00165",="0.0403",="0.00505",="0.0230",="0.00126"

="age_11",="0",="0.0812",="0.250",="0.128",="0.223",="0.0691"
="",="0",="0.00173",="0.0632",="0.00666",="0.0395",="0.00137"

="age_12",="0",="0.0548",="0.146",="0.131",="0.143",="0.0499"
="",="0",="0.00145",="0.0515",="0.00673",="0.0332",="0.00117"

="age_13",="0",="0.0351",="0.104",="0.121",="0.134",="0.0348"
="",="0",="0.00117",="0.0446",="0.00649",="0.0323",="0.000988"

="age_14",="0",="0.0437",="0.333",="0.190",="0.188",="0.0466"
="",="0",="0.00130",="0.0688",="0.00782",="0.0370",="0.00114"

="N",="34360",="",="",="",="",=""

