
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="1",="0.00491",="0",="0.411",="0",="0.124"
="",=".",="0.000453",="0",="0.00489",="0",="0.00178"

="age_2",="0",="0.185",="0",="0.0386",="0.00283",="0.140"
="",=".",="0.00252",="0",="0.00192",="0.00283",="0.00187"

="age_3",="0",="0.158",="0",="0.00128",="0.00567",="0.110"
="",=".",="0.00236",="0",="0.000356",="0.00400",="0.00169"

="age_4",="0",="0.104",="0",="0.00296",="0.0397",="0.0732"
="",=".",="0.00198",="0",="0.000540",="0.0104",="0.00141"

="age_5",="0",="0.0817",="0.0147",="0.00692",="0.0510",="0.0592"
="",=".",="0.00177",="0.0147",="0.000824",="0.0117",="0.00127"

="age_6",="0",="0.0800",="0",="0.0137",="0.110",="0.0606"
="",=".",="0.00176",="0",="0.00116",="0.0167",="0.00129"

="age_7",="0",="0.0747",="0.0588",="0.0212",="0.108",="0.0593"
="",=".",="0.00170",="0.0287",="0.00143",="0.0165",="0.00127"

="age_8",="0",="0.0680",="0.0735",="0.0320",="0.108",="0.0578"
="",=".",="0.00163",="0.0319",="0.00175",="0.0165",="0.00126"

="age_9",="0",="0.0584",="0.0441",="0.0519",="0.127",="0.0572"
="",=".",="0.00152",="0.0251",="0.00220",="0.0178",="0.00125"

="age_10",="0",="0.0538",="0.132",="0.0642",="0.153",="0.0581"
="",=".",="0.00146",="0.0414",="0.00244",="0.0192",="0.00126"

="age_11",="0",="0.0533",="0.191",="0.104",="0.113",="0.0691"
="",=".",="0.00146",="0.0480",="0.00303",="0.0169",="0.00137"

="age_12",="0",="0.0333",="0.265",="0.0865",="0.0822",="0.0499"
="",=".",="0.00116",="0.0539",="0.00279",="0.0146",="0.00117"

="age_13",="0",="0.0204",="0.118",="0.0675",="0.0482",="0.0348"
="",=".",="0.000917",="0.0394",="0.00249",="0.0114",="0.000988"

="age_14",="0",="0.0242",="0.103",="0.0986",="0.0510",="0.0466"
="",=".",="0.000996",="0.0371",="0.00296",="0.0117",="0.00114"

="N",="34360",="",="",="",="",=""

