
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.951",="0.00774",="0",="0.00917",="0",="0.124"
="",="0.00331",="0.000529",="0",="0.00186",="0",="0.00178"

="age_2",="0.0473",="0.167",="0",="0.00459",="0",="0.140"
="",="0.00326",="0.00226",="0",="0.00132",="0",="0.00187"

="age_3",="0.000707",="0.137",="0",="0.00535",="0",="0.110"
="",="0.000408",="0.00208",="0",="0.00143",="0",="0.00169"

="age_4",="0.000471",="0.0914",="0",="0.00229",="0.0132",="0.0732"
="",="0.000333",="0.00174",="0",="0.000935",="0.0132",="0.00141"

="age_5",="0.000236",="0.0739",="0",="0.00306",="0",="0.0592"
="",="0.000236",="0.00158",="0",="0.00108",="0",="0.00127"

="age_6",="0.000236",="0.0746",="0",="0.0138",="0.0132",="0.0606"
="",="0.000236",="0.00159",="0",="0.00228",="0.0132",="0.00129"

="age_7",="0",="0.0723",="0",="0.0191",="0.0526",="0.0593"
="",="0",="0.00156",="0",="0.00268",="0.0258",="0.00127"

="age_8",="0",="0.0698",="0",="0.0271",="0.0526",="0.0578"
="",="0",="0.00154",="0",="0.00318",="0.0258",="0.00126"

="age_9",="0",="0.0656",="0",="0.0608",="0.0921",="0.0572"
="",="0",="0.00150",="0",="0.00467",="0.0334",="0.00125"

="age_10",="0",="0.0627",="0.133",="0.103",="0.0658",="0.0581"
="",="0",="0.00146",="0.0909",="0.00594",="0.0286",="0.00126"

="age_11",="0",="0.0677",="0.333",="0.190",="0.211",="0.0691"
="",="0",="0.00152",="0.126",="0.00767",="0.0471",="0.00137"

="age_12",="0",="0.0455",="0.200",="0.175",="0.0921",="0.0499"
="",="0",="0.00126",="0.107",="0.00743",="0.0334",="0.00117"

="age_13",="0",="0.0286",="0.133",="0.153",="0.132",="0.0348"
="",="0",="0.00101",="0.0909",="0.00704",="0.0390",="0.000988"

="age_14",="0",="0.0351",="0.200",="0.234",="0.276",="0.0466"
="",="0",="0.00111",="0.107",="0.00828",="0.0516",="0.00114"

="N",="34360",="",="",="",="",=""

