
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="2",="3",="4",="5",="Total"

="age_1",="0",="0",="0.290",="0",="0.124"
="",="0",="0",="0.00374",="0",="0.00178"

="age_2",="0.0202",="0",="0.299",="0",="0.140"
="",="0.00101",="0",="0.00377",="0",="0.00187"

="age_3",="0.176",="0",="0.0267",="0",="0.110"
="",="0.00274",="0",="0.00133",="0",="0.00169"

="age_4",="0.128",="0",="0.00224",="0.0131",="0.0732"
="",="0.00241",="0",="0.000389",="0.00652",="0.00141"

="age_5",="0.101",="0",="0.00481",="0.0689",="0.0592"
="",="0.00217",="0",="0.000570",="0.0145",="0.00127"

="age_6",="0.0973",="0",="0.0110",="0.148",="0.0606"
="",="0.00213",="0",="0.000858",="0.0203",="0.00129"

="age_7",="0.0913",="0",="0.0162",="0.118",="0.0593"
="",="0.00207",="0",="0.00104",="0.0185",="0.00127"

="age_8",="0.0848",="0",="0.0216",="0.111",="0.0578"
="",="0.00201",="0",="0.00120",="0.0181",="0.00126"

="age_9",="0.0742",="0.0588",="0.0332",="0.141",="0.0572"
="",="0.00189",="0.0588",="0.00147",="0.0200",="0.00125"

="age_10",="0.0669",="0.0588",="0.0460",="0.0820",="0.0581"
="",="0.00180",="0.0588",="0.00172",="0.0157",="0.00126"

="age_11",="0.0667",="0.353",="0.0706",="0.128",="0.0691"
="",="0.00180",="0.119",="0.00211",="0.0192",="0.00137"

="age_12",="0.0419",="0.235",="0.0598",="0.0656",="0.0499"
="",="0.00144",="0.106",="0.00195",="0.0142",="0.00117"

="age_13",="0.0239",="0.176",="0.0485",="0.0492",="0.0348"
="",="0.00110",="0.0953",="0.00177",="0.0124",="0.000988"

="age_14",="0.0277",="0.118",="0.0705",="0.0754",="0.0466"
="",="0.00118",="0.0805",="0.00211",="0.0151",="0.00114"

="N",="34360",="",="",="",=""

