
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.555",="0",="0",="0.0507",="0",="0.124"
="",="0.00587",="0",="0",="0.00287",="0",="0.00178"

="age_2",="0.441",="0.0726",="0",="0.0205",="0.00263",="0.140"
="",="0.00586",="0.00180",="0",="0.00186",="0.00263",="0.00187"

="age_3",="0.00377",="0.172",="0",="0.0257",="0.00526",="0.110"
="",="0.000723",="0.00261",="0",="0.00207",="0.00372",="0.00169"

="age_4",="0.000279",="0.112",="0.0164",="0.0303",="0.00789",="0.0732"
="",="0.000197",="0.00218",="0.0164",="0.00224",="0.00455",="0.00141"

="age_5",="0",="0.0886",="0",="0.0277",="0.0553",="0.0592"
="",="0",="0.00196",="0",="0.00215",="0.0117",="0.00127"

="age_6",="0",="0.0887",="0",="0.0346",="0.0684",="0.0606"
="",="0",="0.00197",="0",="0.00239",="0.0130",="0.00129"

="age_7",="0",="0.0825",="0.0492",="0.0450",="0.116",="0.0593"
="",="0",="0.00190",="0.0279",="0.00271",="0.0164",="0.00127"

="age_8",="0",="0.0763",="0.0328",="0.0598",="0.108",="0.0578"
="",="0",="0.00184",="0.0230",="0.00310",="0.0159",="0.00126"

="age_9",="0",="0.0701",="0.0820",="0.0772",="0.113",="0.0572"
="",="0",="0.00177",="0.0354",="0.00349",="0.0163",="0.00125"

="age_10",="0",="0.0655",="0.148",="0.0967",="0.137",="0.0581"
="",="0",="0.00171",="0.0458",="0.00387",="0.0177",="0.00126"

="age_11",="0",="0.0682",="0.131",="0.151",="0.155",="0.0691"
="",="0",="0.00174",="0.0436",="0.00469",="0.0186",="0.00137"

="age_12",="0",="0.0451",="0.197",="0.124",="0.100",="0.0499"
="",="0",="0.00143",="0.0513",="0.00431",="0.0154",="0.00117"

="age_13",="0",="0.0272",="0.213",="0.101",="0.0553",="0.0348"
="",="0",="0.00113",="0.0529",="0.00395",="0.0117",="0.000988"

="age_14",="0",="0.0313",="0.131",="0.156",="0.0763",="0.0466"
="",="0",="0.00120",="0.0436",="0.00474",="0.0136",="0.00114"

="N",="34360",="",="",="",="",=""

