
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.507",="0",="0",="0.113",="0",="0.124"
="",="0.00574",="0",="0",="0.00511",="0",="0.00178"

="age_2",="0.473",="0.0428",="0",="0.0641",="0",="0.140"
="",="0.00574",="0.00134",="0",="0.00395",="0",="0.00187"

="age_3",="0.0148",="0.160",="0",="0.0130",="0",="0.110"
="",="0.00139",="0.00243",="0",="0.00183",="0",="0.00169"

="age_4",="0.00145",="0.110",="0.0312",="0.00234",="0.00450",="0.0732"
="",="0.000437",="0.00208",="0.0312",="0.000781",="0.00450",="0.00141"

="age_5",="0.000660",="0.0885",="0.0625",="0.00391",="0.0270",="0.0592"
="",="0.000295",="0.00189",="0.0435",="0.00101",="0.0109",="0.00127"

="age_6",="0.000792",="0.0890",="0",="0.0122",="0.0450",="0.0606"
="",="0.000323",="0.00189",="0",="0.00178",="0.0140",="0.00129"

="age_7",="0.000528",="0.0851",="0",="0.0219",="0.0766",="0.0593"
="",="0.000264",="0.00185",="0",="0.00236",="0.0179",="0.00127"

="age_8",="0.000396",="0.0823",="0.0625",="0.0250",="0.0856",="0.0578"
="",="0.000229",="0.00182",="0.0435",="0.00252",="0.0188",="0.00126"

="age_9",="0.000792",="0.0757",="0.0312",="0.0550",="0.131",="0.0572"
="",="0.000323",="0.00176",="0.0312",="0.00368",="0.0227",="0.00125"

="age_10",="0",="0.0729",="0.0938",="0.0818",="0.113",="0.0581"
="",="0",="0.00173",="0.0524",="0.00442",="0.0213",="0.00126"

="age_11",="0.000396",="0.0768",="0.125",="0.153",="0.162",="0.0691"
="",="0.000229",="0.00177",="0.0594",="0.00581",="0.0248",="0.00137"

="age_12",="0",="0.0497",="0.219",="0.142",="0.149",="0.0499"
="",="0",="0.00144",="0.0742",="0.00564",="0.0239",="0.00117"

="age_13",="0",="0.0310",="0.156",="0.123",="0.0586",="0.0348"
="",="0",="0.00115",="0.0652",="0.00531",="0.0158",="0.000988"

="age_14",="0.000132",="0.0367",="0.219",="0.189",="0.149",="0.0466"
="",="0.000132",="0.00125",="0.0742",="0.00632",="0.0239",="0.00114"

="N",="34360",="",="",="",="",=""

