
="",="(1)",="",="",=""
="",="",="",="",=""
="",="2",="4",="5",="Total"

="age_1",="0",="0.147",="0",="0.124"
="",="0",="0.00208",="0",="0.00178"

="age_2",="0",="0.166",="0",="0.140"
="",="0",="0.00218",="0",="0.00187"

="age_3",="0.0255",="0.126",="0",="0.110"
="",="0.00220",="0.00195",="0",="0.00169"

="age_4",="0.133",="0.0630",="0.0187",="0.0732"
="",="0.00475",="0.00143",="0.00928",="0.00141"

="age_5",="0.142",="0.0442",="0.107",="0.0592"
="",="0.00487",="0.00121",="0.0212",="0.00127"

="age_6",="0.135",="0.0465",="0.192",="0.0606"
="",="0.00477",="0.00124",="0.0270",="0.00129"

="age_7",="0.117",="0.0480",="0.201",="0.0593"
="",="0.00449",="0.00125",="0.0275",="0.00127"

="age_8",="0.105",="0.0490",="0.131",="0.0578"
="",="0.00428",="0.00127",="0.0231",="0.00126"

="age_9",="0.0959",="0.0499",="0.121",="0.0572"
="",="0.00411",="0.00128",="0.0224",="0.00125"

="age_10",="0.0786",="0.0544",="0.0654",="0.0581"
="",="0.00376",="0.00133",="0.0169",="0.00126"

="age_11",="0.0838",="0.0665",="0.0607",="0.0691"
="",="0.00387",="0.00146",="0.0164",="0.00137"

="age_12",="0.0417",="0.0514",="0.0374",="0.0499"
="",="0.00279",="0.00130",="0.0130",="0.00117"

="age_13",="0.0248",="0.0366",="0.0234",="0.0348"
="",="0.00217",="0.00110",="0.0104",="0.000988"

="age_14",="0.0174",="0.0518",="0.0421",="0.0466"
="",="0.00182",="0.00130",="0.0138",="0.00114"

="N",="34360",="",="",=""

