
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.440",="0",="0",="0.189",="0",="0.124"
="",="0.00588",="0",="0",="0.00505",="0",="0.00178"

="age_2",="0.538",="0.0436",="0",="0.0111",="0",="0.140"
="",="0.00591",="0.00142",="0",="0.00135",="0",="0.00187"

="age_3",="0.0184",="0.175",="0",="0.00249",="0",="0.110"
="",="0.00159",="0.00264",="0",="0.000643",="0",="0.00169"

="age_4",="0.00183",="0.119",="0",="0.00199",="0.0191",="0.0732"
="",="0.000506",="0.00225",="0",="0.000575",="0.00715",="0.00141"

="age_5",="0.000421",="0.0947",="0",="0.00765",="0.0518",="0.0592"
="",="0.000243",="0.00203",="0",="0.00112",="0.0116",="0.00127"

="age_6",="0.000562",="0.0926",="0.0274",="0.0179",="0.123",="0.0606"
="",="0.000281",="0.00201",="0.0192",="0.00171",="0.0171",="0.00129"

="age_7",="0",="0.0869",="0.0822",="0.0293",="0.134",="0.0593"
="",="0",="0.00195",="0.0324",="0.00217",="0.0178",="0.00127"

="age_8",="0.000281",="0.0808",="0.0959",="0.0439",="0.0954",="0.0578"
="",="0.000199",="0.00189",="0.0347",="0.00264",="0.0154",="0.00126"

="age_9",="0",="0.0715",="0.0822",="0.0710",="0.128",="0.0572"
="",="0",="0.00179",="0.0324",="0.00331",="0.0175",="0.00125"

="age_10",="0",="0.0672",="0.110",="0.0892",="0.144",="0.0581"
="",="0",="0.00174",="0.0368",="0.00368",="0.0184",="0.00126"

="age_11",="0",="0.0669",="0.151",="0.155",="0.112",="0.0691"
="",="0",="0.00173",="0.0422",="0.00466",="0.0165",="0.00137"

="age_12",="0",="0.0453",="0.178",="0.122",="0.0654",="0.0499"
="",="0",="0.00144",="0.0451",="0.00422",="0.0129",="0.00117"

="age_13",="0.000140",="0.0263",="0.137",="0.103",="0.0518",="0.0348"
="",="0.000140",="0.00111",="0.0405",="0.00392",="0.0116",="0.000988"

="age_14",="0.000140",="0.0297",="0.137",="0.157",="0.0763",="0.0466"
="",="0.000140",="0.00118",="0.0405",="0.00469",="0.0139",="0.00114"

="N",="34360",="",="",="",="",=""

