
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.843",="0.00134",="0",="0.0544",="0",="0.124"
="",="0.00522",="0.000224",="0",="0.00444",="0",="0.00178"

="age_2",="0.157",="0.146",="0",="0.0540",="0",="0.140"
="",="0.00522",="0.00216",="0",="0.00442",="0",="0.00187"

="age_3",="0",="0.141",="0",="0.00613",="0",="0.110"
="",="0",="0.00213",="0",="0.00153",="0",="0.00169"

="age_4",="0",="0.0936",="0",="0.00345",="0.0110",="0.0732"
="",="0",="0.00178",="0",="0.00115",="0.0110",="0.00141"

="age_5",="0",="0.0755",="0.0435",="0.00498",="0",="0.0592"
="",="0",="0.00161",="0.0435",="0.00138",="0",="0.00127"

="age_6",="0",="0.0767",="0.0870",="0.0103",="0.0110",="0.0606"
="",="0",="0.00163",="0.0601",="0.00198",="0.0110",="0.00129"

="age_7",="0",="0.0742",="0",="0.0165",="0.0549",="0.0593"
="",="0",="0.00160",="0",="0.00249",="0.0240",="0.00127"

="age_8",="0",="0.0716",="0.0435",="0.0241",="0.0549",="0.0578"
="",="0",="0.00158",="0.0435",="0.00300",="0.0240",="0.00126"

="age_9",="0",="0.0677",="0.0870",="0.0532",="0.132",="0.0572"
="",="0",="0.00154",="0.0601",="0.00439",="0.0357",="0.00125"

="age_10",="0",="0.0653",="0",="0.0919",="0.0659",="0.0581"
="",="0",="0.00151",="0",="0.00566",="0.0262",="0.00126"

="age_11",="0",="0.0715",="0.0435",="0.167",="0.231",="0.0691"
="",="0",="0.00157",="0.0435",="0.00731",="0.0444",="0.00137"

="age_12",="0",="0.0481",="0.304",="0.157",="0.110",="0.0499"
="",="0",="0.00131",="0.0981",="0.00712",="0.0330",="0.00117"

="age_13",="0",="0.0304",="0.0870",="0.140",="0.143",="0.0348"
="",="0",="0.00105",="0.0601",="0.00679",="0.0369",="0.000988"

="age_14",="0",="0.0377",="0.304",="0.217",="0.187",="0.0466"
="",="0",="0.00116",="0.0981",="0.00807",="0.0411",="0.00114"

="N",="34360",="",="",="",="",=""

