
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.554",="0",="0",="0.0530",="0",="0.124"
="",="0.00588",="0",="0",="0.00293",="0",="0.00178"

="age_2",="0.441",="0.0729",="0",="0.0202",="0.00267",="0.140"
="",="0.00587",="0.00180",="0",="0.00184",="0.00267",="0.00187"

="age_3",="0.00489",="0.171",="0",="0.0282",="0.00533",="0.110"
="",="0.000825",="0.00260",="0",="0.00216",="0.00377",="0.00169"

="age_4",="0.000140",="0.112",="0",="0.0294",="0.00800",="0.0732"
="",="0.000140",="0.00218",="0",="0.00221",="0.00461",="0.00141"

="age_5",="0",="0.0889",="0",="0.0275",="0.0400",="0.0592"
="",="0",="0.00197",="0",="0.00214",="0.0101",="0.00127"

="age_6",="0",="0.0882",="0",="0.0352",="0.0827",="0.0606"
="",="0",="0.00196",="0",="0.00241",="0.0142",="0.00129"

="age_7",="0",="0.0829",="0.0189",="0.0446",="0.104",="0.0593"
="",="0",="0.00191",="0.0189",="0.00270",="0.0158",="0.00127"

="age_8",="0",="0.0764",="0.0755",="0.0581",="0.117",="0.0578"
="",="0",="0.00184",="0.0366",="0.00306",="0.0166",="0.00126"

="age_9",="0",="0.0714",="0.0755",="0.0718",="0.125",="0.0572"
="",="0",="0.00178",="0.0366",="0.00337",="0.0171",="0.00125"

="age_10",="0",="0.0649",="0.245",="0.0984",="0.131",="0.0581"
="",="0",="0.00170",="0.0597",="0.00389",="0.0174",="0.00126"

="age_11",="0",="0.0685",="0.113",="0.151",="0.144",="0.0691"
="",="0",="0.00175",="0.0439",="0.00467",="0.0182",="0.00137"

="age_12",="0",="0.0442",="0.132",="0.128",="0.0880",="0.0499"
="",="0",="0.00142",="0.0470",="0.00437",="0.0146",="0.00117"

="age_13",="0",="0.0265",="0.170",="0.103",="0.0693",="0.0348"
="",="0",="0.00111",="0.0521",="0.00398",="0.0131",="0.000988"

="age_14",="0",="0.0321",="0.170",="0.152",="0.0827",="0.0466"
="",="0",="0.00122",="0.0521",="0.00469",="0.0142",="0.00114"

="N",="34360",="",="",="",="",=""

