
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.952",="0.00794",="0",="0.00811",="0",="0.124"
="",="0.00329",="0.000536",="0",="0.00176",="0",="0.00178"

="age_2",="0.0469",="0.167",="0",="0.00618",="0",="0.140"
="",="0.00325",="0.00225",="0",="0.00154",="0",="0.00187"

="age_3",="0.000708",="0.138",="0",="0.00155",="0",="0.110"
="",="0.000408",="0.00208",="0",="0.000772",="0",="0.00169"

="age_4",="0.000236",="0.0913",="0",="0.00270",="0.0267",="0.0732"
="",="0.000236",="0.00174",="0",="0.00102",="0.0187",="0.00141"

="age_5",="0.000236",="0.0737",="0.0667",="0.00386",="0.0133",="0.0592"
="",="0.000236",="0.00158",="0.0667",="0.00122",="0.0133",="0.00127"

="age_6",="0.000236",="0.0746",="0",="0.0139",="0",="0.0606"
="",="0.000236",="0.00159",="0",="0.00230",="0",="0.00129"

="age_7",="0",="0.0723",="0",="0.0185",="0.0400",="0.0593"
="",="0",="0.00156",="0",="0.00265",="0.0228",="0.00127"

="age_8",="0",="0.0697",="0",="0.0274",="0.0400",="0.0578"
="",="0",="0.00154",="0",="0.00321",="0.0228",="0.00126"

="age_9",="0",="0.0656",="0",="0.0611",="0.0800",="0.0572"
="",="0",="0.00149",="0",="0.00471",="0.0315",="0.00125"

="age_10",="0",="0.0624",="0",="0.106",="0.107",="0.0581"
="",="0",="0.00146",="0",="0.00605",="0.0359",="0.00126"

="age_11",="0",="0.0679",="0.400",="0.188",="0.227",="0.0691"
="",="0",="0.00152",="0.131",="0.00768",="0.0487",="0.00137"

="age_12",="0",="0.0458",="0.0667",="0.173",="0.107",="0.0499"
="",="0",="0.00126",="0.0667",="0.00743",="0.0359",="0.00117"

="age_13",="0",="0.0282",="0.133",="0.158",="0.120",="0.0348"
="",="0",="0.00100",="0.0909",="0.00717",="0.0378",="0.000988"

="age_14",="0",="0.0356",="0.333",="0.232",="0.240",="0.0466"
="",="0",="0.00112",="0.126",="0.00830",="0.0496",="0.00114"

="N",="34360",="",="",="",="",=""

