
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.554",="0",="0",="0.0787",="0.00467",="0.124"
="",="0.00588",="0",="0",="0.00430",="0.00467",="0.00178"

="age_2",="0.442",="0.0632",="0",="0.0470",="0",="0.140"
="",="0.00587",="0.00160",="0",="0.00338",="0",="0.00187"

="age_3",="0.00335",="0.159",="0",="0.0268",="0",="0.110"
="",="0.000684",="0.00241",="0",="0.00258",="0",="0.00169"

="age_4",="0.000280",="0.103",="0",="0.0347",="0.00935",="0.0732"
="",="0.000198",="0.00200",="0",="0.00293",="0.00659",="0.00141"

="age_5",="0.000140",="0.0829",="0",="0.0294",="0.0327",="0.0592"
="",="0.000140",="0.00182",="0",="0.00270",="0.0122",="0.00127"

="age_6",="0",="0.0844",="0",="0.0332",="0.0327",="0.0606"
="",="0",="0.00183",="0",="0.00286",="0.0122",="0.00129"

="age_7",="0",="0.0810",="0",="0.0401",="0.0561",="0.0593"
="",="0",="0.00180",="0",="0.00314",="0.0158",="0.00127"

="age_8",="0",="0.0770",="0.0370",="0.0488",="0.0981",="0.0578"
="",="0",="0.00176",="0.0370",="0.00344",="0.0204",="0.00126"

="age_9",="0",="0.0739",="0.0370",="0.0590",="0.136",="0.0572"
="",="0",="0.00172",="0.0370",="0.00377",="0.0235",="0.00125"

="age_10",="0",="0.0708",="0.0741",="0.0853",="0.131",="0.0581"
="",="0",="0.00169",="0.0514",="0.00447",="0.0231",="0.00126"

="age_11",="0",="0.0787",="0.148",="0.133",="0.168",="0.0691"
="",="0",="0.00177",="0.0697",="0.00543",="0.0256",="0.00137"

="age_12",="0",="0.0526",="0.259",="0.120",="0.112",="0.0499"
="",="0",="0.00147",="0.0859",="0.00520",="0.0216",="0.00117"

="age_13",="0",="0.0331",="0.111",="0.104",="0.103",="0.0348"
="",="0",="0.00118",="0.0616",="0.00487",="0.0208",="0.000988"

="age_14",="0",="0.0408",="0.333",="0.160",="0.117",="0.0466"
="",="0",="0.00130",="0.0925",="0.00586",="0.0220",="0.00114"

="N",="34360",="",="",="",="",=""

