
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.840",="0.00146",="0",="0.0519",="0",="0.124"
="",="0.00525",="0.000233",="0",="0.00439",="0",="0.00178"

="age_2",="0.160",="0.145",="0",="0.0539",="0",="0.140"
="",="0.00525",="0.00215",="0",="0.00446",="0",="0.00187"

="age_3",="0",="0.141",="0",="0.00390",="0",="0.110"
="",="0",="0.00212",="0",="0.00123",="0",="0.00169"

="age_4",="0",="0.0934",="0",="0.00469",="0",="0.0732"
="",="0",="0.00178",="0",="0.00135",="0",="0.00141"

="age_5",="0",="0.0756",="0",="0.00390",="0",="0.0592"
="",="0",="0.00161",="0",="0.00123",="0",="0.00127"

="age_6",="0",="0.0769",="0.0800",="0.00781",="0.0114",="0.0606"
="",="0",="0.00163",="0.0554",="0.00174",="0.0114",="0.00129"

="age_7",="0",="0.0741",="0",="0.0184",="0.0341",="0.0593"
="",="0",="0.00160",="0",="0.00265",="0.0195",="0.00127"

="age_8",="0",="0.0718",="0.0400",="0.0219",="0.0682",="0.0578"
="",="0",="0.00158",="0.0400",="0.00289",="0.0270",="0.00126"

="age_9",="0",="0.0679",="0.0400",="0.0523",="0.114",="0.0572"
="",="0",="0.00154",="0.0400",="0.00440",="0.0340",="0.00125"

="age_10",="0",="0.0652",="0.0400",="0.0933",="0.0909",="0.0581"
="",="0",="0.00151",="0.0400",="0.00575",="0.0308",="0.00126"

="age_11",="0",="0.0716",="0.120",="0.168",="0.250",="0.0691"
="",="0",="0.00157",="0.0663",="0.00739",="0.0464",="0.00137"

="age_12",="0",="0.0480",="0.280",="0.160",="0.114",="0.0499"
="",="0",="0.00131",="0.0917",="0.00725",="0.0340",="0.00117"

="age_13",="0",="0.0305",="0.200",="0.142",="0.102",="0.0348"
="",="0",="0.00105",="0.0816",="0.00689",="0.0325",="0.000988"

="age_14",="0",="0.0380",="0.200",="0.218",="0.216",="0.0466"
="",="0",="0.00117",="0.0816",="0.00816",="0.0441",="0.00114"

="N",="34360",="",="",="",="",=""

