
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.452",="0",="0",="0.210",="0",="0.124"
="",="0.00590",="0",="0",="0.00574",="0",="0.00178"

="age_2",="0.521",="0.0439",="0",="0.0272",="0",="0.140"
="",="0.00592",="0.00138",="0",="0.00229",="0",="0.00187"

="age_3",="0.0187",="0.166",="0",="0.00436",="0",="0.110"
="",="0.00161",="0.00252",="0",="0.000928",="0",="0.00169"

="age_4",="0.00253",="0.113",="0",="0.00297",="0.0135",="0.0732"
="",="0.000596",="0.00214",="0",="0.000767",="0.00672",="0.00141"

="age_5",="0.00141",="0.0908",="0",="0.00575",="0.0338",="0.0592"
="",="0.000444",="0.00194",="0",="0.00106",="0.0105",="0.00127"

="age_6",="0.00127",="0.0901",="0",="0.0155",="0.0878",="0.0606"
="",="0.000422",="0.00194",="0",="0.00174",="0.0165",="0.00129"

="age_7",="0.000844",="0.0856",="0.0476",="0.0240",="0.118",="0.0593"
="",="0.000344",="0.00189",="0.0333",="0.00215",="0.0188",="0.00127"

="age_8",="0.000703",="0.0809",="0.0714",="0.0349",="0.111",="0.0578"
="",="0.000314",="0.00184",="0.0402",="0.00258",="0.0183",="0.00126"

="age_9",="0.000563",="0.0747",="0.0714",="0.0587",="0.0980",="0.0572"
="",="0.000281",="0.00178",="0.0402",="0.00331",="0.0173",="0.00125"

="age_10",="0.000422",="0.0696",="0.0952",="0.0856",="0.118",="0.0581"
="",="0.000244",="0.00172",="0.0458",="0.00394",="0.0188",="0.00126"

="age_11",="0.000281",="0.0732",="0.190",="0.143",="0.142",="0.0691"
="",="0.000199",="0.00176",="0.0613",="0.00493",="0.0203",="0.00137"

="age_12",="0.000141",="0.0477",="0.214",="0.124",="0.111",="0.0499"
="",="0.000141",="0.00144",="0.0641",="0.00465",="0.0183",="0.00117"

="age_13",="0",="0.0290",="0.167",="0.106",="0.0574",="0.0348"
="",="0",="0.00114",="0.0582",="0.00434",="0.0135",="0.000988"

="age_14",="0",="0.0352",="0.143",="0.157",="0.108",="0.0466"
="",="0",="0.00125",="0.0546",="0.00512",="0.0181",="0.00114"

="N",="34360",="",="",="",="",=""

