
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.441",="0",="0",="0.190",="0",="0.124"
="",="0.00589",="0",="0",="0.00506",="0",="0.00178"

="age_2",="0.537",="0.0444",="0",="0.0108",="0.00252",="0.140"
="",="0.00592",="0.00143",="0",="0.00133",="0.00252",="0.00187"

="age_3",="0.0187",="0.175",="0",="0.00216",="0.00504",="0.110"
="",="0.00161",="0.00263",="0",="0.000599",="0.00356",="0.00169"

="age_4",="0.00169",="0.119",="0.0192",="0.00216",="0.0176",="0.0732"
="",="0.000487",="0.00225",="0.0192",="0.000599",="0.00661",="0.00141"

="age_5",="0.000704",="0.0940",="0",="0.00915",="0.0479",="0.0592"
="",="0.000315",="0.00202",="0",="0.00123",="0.0107",="0.00127"

="age_6",="0.000422",="0.0928",="0.0577",="0.0175",="0.103",="0.0606"
="",="0.000244",="0.00201",="0.0326",="0.00169",="0.0153",="0.00129"

="age_7",="0.000282",="0.0868",="0.0577",="0.0300",="0.116",="0.0593"
="",="0.000199",="0.00195",="0.0326",="0.00220",="0.0161",="0.00127"

="age_8",="0.000422",="0.0799",="0.0962",="0.0441",="0.131",="0.0578"
="",="0.000244",="0.00188",="0.0413",="0.00265",="0.0170",="0.00126"

="age_9",="0",="0.0723",="0",="0.0694",="0.111",="0.0572"
="",="0",="0.00180",="0",="0.00328",="0.0158",="0.00125"

="age_10",="0",="0.0689",="0.173",="0.0845",="0.116",="0.0581"
="",="0",="0.00176",="0.0530",="0.00359",="0.0161",="0.00126"

="age_11",="0",="0.0676",="0.0769",="0.151",="0.144",="0.0691"
="",="0",="0.00174",="0.0373",="0.00462",="0.0176",="0.00137"

="age_12",="0",="0.0429",="0.192",="0.128",="0.101",="0.0499"
="",="0",="0.00140",="0.0552",="0.00432",="0.0151",="0.00117"

="age_13",="0",="0.0266",="0.212",="0.101",="0.0554",="0.0348"
="",="0",="0.00112",="0.0572",="0.00389",="0.0115",="0.000988"

="age_14",="0",="0.0296",="0.115",="0.160",="0.0504",="0.0466"
="",="0",="0.00117",="0.0447",="0.00472",="0.0110",="0.00114"

="N",="34360",="",="",="",="",=""

