
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.451",="0",="0",="0.210",="0",="0.124"
="",="0.00588",="0",="0",="0.00577",="0",="0.00178"

="age_2",="0.520",="0.0432",="0",="0.0275",="0",="0.140"
="",="0.00591",="0.00137",="0",="0.00232",="0",="0.00187"

="age_3",="0.0198",="0.165",="0",="0.00582",="0",="0.110"
="",="0.00165",="0.00251",="0",="0.00108",="0",="0.00169"

="age_4",="0.00335",="0.113",="0",="0.00241",="0.0103",="0.0732"
="",="0.000683",="0.00214",="0",="0.000695",="0.00595",="0.00141"

="age_5",="0.00182",="0.0905",="0",="0.00643",="0.0345",="0.0592"
="",="0.000503",="0.00194",="0",="0.00113",="0.0107",="0.00127"

="age_6",="0.00196",="0.0898",="0.0233",="0.0159",="0.0793",="0.0606"
="",="0.000522",="0.00193",="0.0233",="0.00177",="0.0159",="0.00129"

="age_7",="0.000978",="0.0861",="0.0233",="0.0235",="0.0931",="0.0593"
="",="0.000370",="0.00190",="0.0233",="0.00215",="0.0171",="0.00127"

="age_8",="0.000559",="0.0816",="0.116",="0.0329",="0.0966",="0.0578"
="",="0.000279",="0.00185",="0.0495",="0.00253",="0.0174",="0.00126"

="age_9",="0.000419",="0.0743",="0.0698",="0.0594",="0.128",="0.0572"
="",="0.000242",="0.00177",="0.0393",="0.00335",="0.0196",="0.00125"

="age_10",="0.000279",="0.0709",="0.116",="0.0805",="0.124",="0.0581"
="",="0.000198",="0.00173",="0.0495",="0.00386",="0.0194",="0.00126"

="age_11",="0",="0.0742",="0.116",="0.141",="0.148",="0.0691"
="",="0",="0.00177",="0.0495",="0.00493",="0.0209",="0.00137"

="age_12",="0",="0.0473",="0.233",="0.128",="0.110",="0.0499"
="",="0",="0.00143",="0.0652",="0.00473",="0.0184",="0.00117"

="age_13",="0",="0.0295",="0.186",="0.103",="0.100",="0.0348"
="",="0",="0.00114",="0.0600",="0.00431",="0.0176",="0.000988"

="age_14",="0",="0.0347",="0.116",="0.163",="0.0759",="0.0466"
="",="0",="0.00124",="0.0495",="0.00524",="0.0156",="0.00114"

="N",="34360",="",="",="",="",=""

