
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.870",="0.000943",="0",="0.0289",="0.00575",="0.124"
="",="0.00487",="0.000192",="0",="0.00268",="0.00575",="0.00178"

="age_2",="0.130",="0.158",="0",="0.0420",="0",="0.140"
="",="0.00487",="0.00229",="0",="0.00321",="0",="0.00187"

="age_3",="0",="0.148",="0",="0.00179",="0",="0.110"
="",="0",="0.00223",="0",="0.000677",="0",="0.00169"

="age_4",="0",="0.0983",="0.0278",="0.00179",="0.0230",="0.0732"
="",="0",="0.00187",="0.0195",="0.000677",="0.0114",="0.00141"

="age_5",="0",="0.0788",="0.0139",="0.00589",="0.0287",="0.0592"
="",="0",="0.00169",="0.0139",="0.00122",="0.0127",="0.00127"

="age_6",="0",="0.0791",="0.0417",="0.0151",="0.0460",="0.0606"
="",="0",="0.00169",="0.0237",="0.00195",="0.0159",="0.00129"

="age_7",="0",="0.0754",="0.0417",="0.0256",="0.0747",="0.0593"
="",="0",="0.00166",="0.0237",="0.00253",="0.0200",="0.00127"

="age_8",="0",="0.0714",="0.125",="0.0379",="0.0747",="0.0578"
="",="0",="0.00161",="0.0392",="0.00305",="0.0200",="0.00126"

="age_9",="0",="0.0653",="0.125",="0.0696",="0.132",="0.0572"
="",="0",="0.00155",="0.0392",="0.00407",="0.0258",="0.00125"

="age_10",="0",="0.0618",="0.125",="0.100",="0.121",="0.0581"
="",="0",="0.00151",="0.0392",="0.00481",="0.0248",="0.00126"

="age_11",="0",="0.0641",="0.208",="0.180",="0.149",="0.0691"
="",="0",="0.00153",="0.0482",="0.00614",="0.0271",="0.00137"

="age_12",="0",="0.0413",="0.111",="0.160",="0.155",="0.0499"
="",="0",="0.00125",="0.0373",="0.00587",="0.0275",="0.00117"

="age_13",="0",="0.0263",="0.0694",="0.130",="0.0690",="0.0348"
="",="0",="0.00100",="0.0302",="0.00539",="0.0193",="0.000988"

="age_14",="0",="0.0309",="0.111",="0.201",="0.121",="0.0466"
="",="0",="0.00108",="0.0373",="0.00641",="0.0248",="0.00114"

="N",="34360",="",="",="",="",=""

