
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.550",="0",="0",="0.190",="0",="0.124"
="",="0.00598",="0",="0",="0.00789",="0",="0.00178"

="age_2",="0.445",="0.0612",="0",="0.0850",="0",="0.140"
="",="0.00598",="0.00152",="0",="0.00561",="0",="0.00187"

="age_3",="0.00419",="0.151",="0",="0.00405",="0",="0.110"
="",="0.000777",="0.00227",="0",="0.00128",="0",="0.00169"

="age_4",="0.000145",="0.101",="0",="0.00121",="0.00787",="0.0732"
="",="0.000145",="0.00192",="0",="0.000701",="0.00787",="0.00141"

="age_5",="0",="0.0818",="0",="0.00243",="0.0157",="0.0592"
="",="0",="0.00174",="0",="0.000990",="0.0111",="0.00127"

="age_6",="0.000145",="0.0832",="0.0196",="0.00688",="0.00787",="0.0606"
="",="0.000145",="0.00175",="0.0196",="0.00166",="0.00787",="0.00129"

="age_7",="0",="0.0807",="0",="0.0134",="0.0236",="0.0593"
="",="0",="0.00173",="0",="0.00231",="0.0135",="0.00127"

="age_8",="0.000289",="0.0781",="0.0196",="0.0162",="0.0630",="0.0578"
="",="0.000204",="0.00170",="0.0196",="0.00254",="0.0216",="0.00126"

="age_9",="0.000145",="0.0747",="0.0392",="0.0393",="0.102",="0.0572"
="",="0.000145",="0.00167",="0.0275",="0.00391",="0.0270",="0.00125"

="age_10",="0.000145",="0.0725",="0.0980",="0.0704",="0.134",="0.0581"
="",="0.000145",="0.00165",="0.0421",="0.00515",="0.0303",="0.00126"

="age_11",="0",="0.0812",="0.275",="0.130",="0.197",="0.0691"
="",="0",="0.00173",="0.0631",="0.00676",="0.0354",="0.00137"

="age_12",="0",="0.0547",="0.118",="0.135",="0.134",="0.0499"
="",="0",="0.00144",="0.0456",="0.00688",="0.0303",="0.00117"

="age_13",="0.000145",="0.0354",="0.0980",="0.120",="0.118",="0.0348"
="",="0.000145",="0.00117",="0.0421",="0.00653",="0.0288",="0.000988"

="age_14",="0",="0.0442",="0.333",="0.187",="0.197",="0.0466"
="",="0",="0.00131",="0.0667",="0.00784",="0.0354",="0.00114"

="N",="34360",="",="",="",="",=""

