
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="1",="0.00833",="0",="0.358",="0",="0.124"
="",="0",="0.000607",="0",="0.00449",="0",="0.00178"

="age_2",="0",="0.201",="0",="0.0255",="0.00267",="0.140"
="",="0",="0.00267",="0",="0.00148",="0.00267",="0.00187"

="age_3",="0",="0.167",="0",="0.00228",="0.0241",="0.110"
="",="0",="0.00249",="0",="0.000447",="0.00793",="0.00169"

="age_4",="0",="0.108",="0.00730",="0.00605",="0.0481",="0.0732"
="",="0",="0.00207",="0.00730",="0.000727",="0.0111",="0.00141"

="age_5",="0",="0.0831",="0",="0.0115",="0.102",="0.0592"
="",="0",="0.00184",="0",="0.000998",="0.0156",="0.00127"

="age_6",="0",="0.0786",="0.0292",="0.0231",="0.136",="0.0606"
="",="0",="0.00180",="0.0144",="0.00141",="0.0178",="0.00129"

="age_7",="0",="0.0703",="0.0584",="0.0356",="0.118",="0.0593"
="",="0",="0.00171",="0.0201",="0.00174",="0.0167",="0.00127"

="age_8",="0",="0.0638",="0.0949",="0.0431",="0.134",="0.0578"
="",="0",="0.00163",="0.0251",="0.00190",="0.0176",="0.00126"

="age_9",="0",="0.0535",="0.0584",="0.0634",="0.0909",="0.0572"
="",="0",="0.00150",="0.0201",="0.00228",="0.0149",="0.00125"

="age_10",="0",="0.0488",="0.139",="0.0740",="0.102",="0.0581"
="",="0",="0.00144",="0.0296",="0.00245",="0.0156",="0.00126"

="age_11",="0",="0.0467",="0.182",="0.111",="0.107",="0.0691"
="",="0",="0.00141",="0.0331",="0.00294",="0.0160",="0.00137"

="age_12",="0",="0.0295",="0.226",="0.0876",="0.0615",="0.0499"
="",="0",="0.00113",="0.0359",="0.00265",="0.0124",="0.00117"

="age_13",="0",="0.0187",="0.117",="0.0657",="0.0294",="0.0348"
="",="0",="0.000903",="0.0275",="0.00232",="0.00875",="0.000988"

="age_14",="0",="0.0225",="0.0876",="0.0936",="0.0455",="0.0466"
="",="0",="0.000989",="0.0242",="0.00273",="0.0108",="0.00114"

="N",="34360",="",="",="",="",=""

