
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.508",="0",="0",="0.113",="0",="0.124"
="",="0.00575",="0",="0",="0.00514",="0",="0.00178"

="age_2",="0.475",="0.0433",="0",="0.0596",="0",="0.140"
="",="0.00574",="0.00135",="0",="0.00384",="0",="0.00187"

="age_3",="0.0131",="0.160",="0",="0.0131",="0",="0.110"
="",="0.00131",="0.00243",="0",="0.00184",="0",="0.00169"

="age_4",="0.00159",="0.110",="0",="0.00236",="0.0132",="0.0732"
="",="0.000458",="0.00207",="0",="0.000787",="0.00760",="0.00141"

="age_5",="0.000397",="0.0886",="0",="0.00368",="0.0176",="0.0592"
="",="0.000229",="0.00189",="0",="0.000981",="0.00875",="0.00127"

="age_6",="0.000264",="0.0891",="0",="0.0126",="0.0352",="0.0606"
="",="0.000187",="0.00189",="0",="0.00181",="0.0123",="0.00129"

="age_7",="0.000926",="0.0847",="0",="0.0221",="0.0881",="0.0593"
="",="0.000350",="0.00185",="0",="0.00238",="0.0189",="0.00127"

="age_8",="0",="0.0826",="0.0556",="0.0244",="0.0617",="0.0578"
="",="0",="0.00183",="0.0387",="0.00250",="0.0160",="0.00126"

="age_9",="0.000529",="0.0754",="0.111",="0.0564",="0.128",="0.0572"
="",="0.000264",="0.00175",="0.0531",="0.00374",="0.0222",="0.00125"

="age_10",="0.000132",="0.0725",="0.0556",="0.0803",="0.172",="0.0581"
="",="0.000132",="0.00172",="0.0387",="0.00440",="0.0251",="0.00126"

="age_11",="0",="0.0770",="0.194",="0.153",="0.163",="0.0691"
="",="0",="0.00177",="0.0669",="0.00583",="0.0246",="0.00137"

="age_12",="0",="0.0498",="0.194",="0.143",="0.132",="0.0499"
="",="0",="0.00144",="0.0669",="0.00567",="0.0225",="0.00117"

="age_13",="0",="0.0310",="0.194",="0.123",="0.0705",="0.0348"
="",="0",="0.00115",="0.0669",="0.00532",="0.0170",="0.000988"

="age_14",="0",="0.0365",="0.194",="0.193",="0.119",="0.0466"
="",="0",="0.00124",="0.0669",="0.00640",="0.0215",="0.00114"

="N",="34360",="",="",="",="",=""

