
="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="Total"

="age_1",="0.766",="0.000164",="0",="0.0231",="0.00405",="0.124"
="",="0.00574",="0.0000819",="0",="0.00232",="0.00405",="0.00178"

="age_2",="0.232",="0.131",="0",="0.0818",="0.00405",="0.140"
="",="0.00572",="0.00216",="0",="0.00423",="0.00405",="0.00187"

="age_3",="0.00147",="0.154",="0",="0.00573",="0",="0.110"
="",="0.000519",="0.00231",="0",="0.00117",="0",="0.00169"

="age_4",="0",="0.102",="0.0588",="0.00573",="0.0283",="0.0732"
="",="0",="0.00193",="0.0333",="0.00117",="0.0106",="0.00141"

="age_5",="0",="0.0816",="0.118",="0.00763",="0.0202",="0.0592"
="",="0",="0.00175",="0.0456",="0.00134",="0.00898",="0.00127"

="age_6",="0",="0.0821",="0.0392",="0.0157",="0.0445",="0.0606"
="",="0",="0.00176",="0.0275",="0.00192",="0.0132",="0.00129"

="age_7",="0",="0.0775",="0.0196",="0.0279",="0.101",="0.0593"
="",="0",="0.00171",="0.0196",="0.00254",="0.0192",="0.00127"

="age_8",="0.000367",="0.0744",="0.0392",="0.0336",="0.101",="0.0578"
="",="0.000260",="0.00168",="0.0275",="0.00278",="0.0192",="0.00126"

="age_9",="0",="0.0669",="0.0980",="0.0706",="0.117",="0.0572"
="",="0",="0.00160",="0.0421",="0.00396",="0.0205",="0.00125"

="age_10",="0",="0.0639",="0.0784",="0.0952",="0.126",="0.0581"
="",="0",="0.00157",="0.0380",="0.00453",="0.0211",="0.00126"

="age_11",="0",="0.0669",="0.216",="0.165",="0.154",="0.0691"
="",="0",="0.00160",="0.0582",="0.00573",="0.0230",="0.00137"

="age_12",="0",="0.0431",="0.137",="0.148",="0.138",="0.0499"
="",="0",="0.00130",="0.0487",="0.00548",="0.0220",="0.00117"

="age_13",="0.000184",="0.0263",="0.0784",="0.127",="0.0688",="0.0348"
="",="0.000184",="0.00102",="0.0380",="0.00514",="0.0161",="0.000988"

="age_14",="0",="0.0312",="0.118",="0.193",="0.0931",="0.0466"
="",="0",="0.00111",="0.0456",="0.00610",="0.0185",="0.00114"

="N",="34360",="",="",="",="",=""

