REGIONC,avg_tv09,lwr,upr
1,2.5215188084,2.4681018678,2.5749357491
2,2.6498777499,2.5788452746,2.7209102253
3,2.5948100382,2.550917301,2.6387027754
4,2.3801471223,2.3333475826,2.426946662
