"",".","",""
"","1","2","Total"
"","b/colpct","b/colpct","b/colpct"
"Missing","875","887","1762"
"","10.96904","11.40689","11.18517"
"Complete","7102","6889","13991"
"","89.03096","88.59311","88.81483"
"Total","7977","7776","15753"
"","100","100","100"
"chi2",".7599221","",""
"p",".3833529","",""
