id,w,division,type
00267,14822.51,9,2
00268,6741.19,2,5
00269,10062.81,2,5
00270,9345.73,7,5
00271,10669.31,7,2
00272,4132.53,4,2
00273,21237.82,5,1
00274,6297.04,5,2
00275,9918.94,10,5
00276,6765.29,10,3
00277,5629.1,1,2
00278,10166.72,9,2
00279,18915.3,3,1
00280,10649.18,10,2
00281,8580.7,2,4
00282,8639.69,3,2
00283,15254.19,2,2
00284,6983.24,5,2
00285,6171.51,10,2
00286,14560.29,2,3
00287,8890.67,7,2
00288,5126.84,4,2
00289,9713.22,6,2
00290,10625.15,6,2
00291,8050.41,5,2
00292,7341.32,2,2
00293,10899.67,10,2
00294,18357.91,10,2
00295,14615.7,3,2
00296,5629.1,1,2
00297,6822.46,10,4
00298,6466.42,10,2
00299,10916,2,4
00300,17792.75,2,1
00301,4269.66,4,3
00302,6913.02,10,4
00303,7707.69,5,2
00304,6594.24,4,2
00305,7133.12,7,2
00306,7364.81,2,2
00307,7169.31,10,2
00308,6309.98,5,4
00309,9169.97,9,2
00310,10329.37,5,3
00311,12550.17,2,2
00312,34308.86,6,1
00313,17888.36,3,2
00314,7535.95,7,2
00315,8236.3,10,2
00316,19109.5,3,1
00317,8646.42,5,2
00318,12046.39,3,2
00319,5868.89,7,3
00320,8050.4,5,2
00321,8802.19,10,2
00322,5334.31,1,2
00323,6589.14,10,2
00324,11465.62,5,2
00325,8378.15,7,5
00326,14774.72,6,5
00327,7562.5,10,2
00328,14581.35,6,1
00329,7088.75,4,1
00330,12347.56,7,3
00331,6932.01,7,5
00332,3197.03,4,3
00333,8991.67,2,5
00334,7489.17,7,2
00335,6552.24,5,2
00336,3666.24,4,5
00337,12661.58,5,2
00338,8885.09,6,2
00339,7169.31,10,2
00340,6267.95,5,2
00341,11324.48,4,4
00342,6822.46,10,4
00343,8229.3,6,3
00344,20518.26,3,4
00345,13336.63,5,2
00346,8244.45,10,2
00347,9263.27,10,2
00348,11211.02,2,3
00349,10310.21,5,2
00350,7925.49,2,2
00351,15440.36,9,5
00352,6004.19,5,2
00353,16137.47,3,2
00354,4751.97,4,2
00355,17230.63,3,2
00356,5878.4,5,2
00357,3514.9,4,5
00358,32289.61,3,2
00359,4786.03,2,3
00360,12550.17,2,2
00361,24713.87,3,2
00362,7620.19,1,2
00363,4811.74,1,4
00364,3958.32,1,2
00365,2913.74,4,2
00366,7477.88,10,2
00367,9263.27,10,2
00368,6297.04,5,2
00369,7093.98,10,2
00370,3409.68,4,2
00371,6589.14,10,2
00372,15213.44,7,5
00373,3991.1,1,2
00374,4451.91,4,2
00375,4697.21,4,2
00376,5756.09,4,2
00377,6136.08,7,4
00378,7960.93,3,2
00379,8370.11,2,4
00380,8542.97,7,2
00381,8280.15,10,2
00382,4109.17,4,3
00383,5629.1,1,2
00384,7703.43,10,2
00385,2778.26,4,2
00386,9131.57,10,2
00387,6996.13,5,2
00388,7169.31,10,2
00389,22653.8,5,1
00390,4020.19,4,3
00391,15623.27,2,2
00392,5929.24,5,2
00393,13175.74,3,2
00394,9383.08,3,3
00395,14390.54,2,4
00396,7562.5,10,2
00397,7577.54,7,2
00398,2673.74,4,2
00399,7834.5,2,2
00400,6900.59,5,5
00401,6321.64,5,5
00402,7489.17,7,2
00403,18003.64,3,2
00404,6460.62,1,5
00405,8050.41,5,2
00406,6297.04,5,2
00407,8244.08,7,5
00408,29823.06,3,2
00409,10813.55,5,2
00410,4702.48,4,2
00411,15489.58,2,2
00412,4473.19,10,4
00413,9516.48,9,2
00414,8596.26,5,5
00415,3991.1,1,2
00416,7264.47,10,2
00417,5315.88,10,4
00418,7872.64,5,5
00419,8416.45,5,5
00420,14313.59,3,2
00421,6424.14,5,5
00422,13175.74,3,2
00423,7190.39,5,2
00424,5562.51,4,2
00425,6297.04,5,2
00426,21908.18,3,4
00427,12746.72,6,2
00428,5543.57,1,2
00429,3329.69,4,2
00430,9643.29,5,2
00431,4193.99,4,2
00432,6054.97,5,2
00433,5104.17,4,5
00434,8877.69,10,2
00435,15220.06,3,2
00436,3912.87,1,2
00437,9620.35,9,1
00438,10143.15,5,2
00439,10545,9,2
00440,10922.75,2,2
00441,6576.85,7,2
00442,6466.42,10,2
00443,12550.18,2,2
00444,7553.73,2,4
00445,18749.33,3,5
00446,4724.46,1,4
00447,5991.05,5,2
00448,18832.4,3,2
00449,19914.71,3,2
00450,6989.1,5,2
00451,23678.57,3,3
00452,4767.98,10,3
00453,6821.06,10,2
00454,7203.06,7,3
00455,7549.59,6,2
00456,8218.57,7,2
00457,3575.32,10,3
00458,4939.31,4,2
00459,5991.05,5,2
00460,7951.52,10,2
00461,9327.16,2,2
00462,13971.4,5,2
00463,9155.04,6,2
00464,10870.81,2,2
00465,7110.94,10,2
00466,7530.25,5,2
00467,5463.41,10,3
00468,8962.1,5,2
00469,20030.18,3,4
00470,6989.1,5,2
00471,10329.37,5,3
00472,8709.71,10,2
00473,12606,2,3
00474,6608.64,1,4
00475,8458.37,5,2
00476,6792.48,5,2
00477,8064.03,5,2
00478,25503.16,6,2
00479,6004.19,5,2
00480,4197.34,1,2
00481,4419.49,1,1
00482,7764.97,2,5
00483,13181.18,10,4
00484,3715.51,8,3
00485,9706.56,10,2
00486,7420.94,1,4
00487,11979.4,7,4
00488,10491.68,10,5
00489,21982.09,3,4
00490,10491.68,10,5
00491,4197.34,1,2
00492,4318.42,4,1
00493,8605.81,5,2
00494,5983.01,4,2
00495,6814.27,1,2
00496,16020.97,3,2
00497,3878.33,4,1
00498,11578.2,2,4
00499,2814.88,4,2
00500,2673.74,4,2
00501,2599.86,4,2
00502,4232.49,4,2
00503,9160.89,3,3
00504,6912.44,2,2
00505,6153.58,10,4
00506,6589.14,10,2
00507,13175.74,3,2
00508,6466.42,10,2
00509,9986.66,6,2
00510,3909.18,4,2
00511,8067.49,1,5
00512,7196.64,10,4
00513,10673.16,2,2
00514,6506.71,5,2
00515,11549.07,6,3
00516,12752.4,2,3
00517,10878.43,2,2
00518,10155.39,2,5
00519,10910.1,3,4
00520,8289.58,7,5
00521,17254.58,5,2
00522,11330.02,8,2
00523,13711.04,5,2
00524,17342.26,2,2
00525,7489.17,7,2
00526,5694.14,1,5
00527,10651.14,10,5
00528,31665.03,6,2
00529,5334.31,1,2
00530,8639.69,3,2
00531,10651.14,10,5
00532,11306.45,8,2
00533,7537.76,10,2
00534,5006.57,4,2
00535,5512.6,4,5
00536,7549.59,6,2
00537,4689.64,5,3
00538,13035.57,7,5
00539,4184.88,8,4
00540,11691.13,5,2
00541,9642.91,1,5
00542,5211.54,10,2
00543,2913.74,4,2
00544,13711.04,5,2
00545,7136.88,10,2
00546,23965.42,2,4
00547,18696.45,3,2
00548,6113.88,10,4
00549,7549.59,6,2
00550,2993.34,4,2
00551,16137.47,3,2
00552,5727.71,1,5
00553,4109.17,4,3
00554,14025.74,5,2
00555,21080.95,2,2
00556,4388.98,4,2
00557,8318.45,5,2
00558,7718.02,7,2
00559,4646.98,1,4
00560,8740.22,1,2
00561,7465.21,10,5
00562,12321.92,9,2
00563,39377.61,8,2
00564,7788.02,7,2
00565,1518.97,1,3
00566,7553.73,2,4
00567,9760.39,7,5
00568,2599.86,4,2
00569,4702.48,4,2
00570,7264.47,10,2
00571,7327.23,2,2
00572,16137.48,3,2
00573,15676.37,5,2
00574,5890.27,5,2
00575,4336.08,1,2
00576,5629.1,1,2
00577,6905.04,7,2
00578,7164.33,5,2
00579,4193.99,4,2
