id,w,division,type
02918,25256.51,2,5
02919,9340.6,10,5
02920,12407.57,2,2
02921,17419.04,5,1
02922,10128.15,5,2
02923,18613.77,9,2
02924,7949.29,10,1
02925,6557.73,5,2
02926,9339.61,7,2
02927,6297.04,5,2
02928,8244.45,10,2
02929,6763.24,5,2
02930,10651.14,10,5
02931,14904.77,3,2
02932,2673.74,4,2
02933,7720.4,10,2
02934,9263.26,10,2
02935,10290.99,6,5
02936,7169.31,10,2
02937,15551.41,5,2
02938,9244.79,4,2
02939,7960.93,3,2
02940,17552.96,2,2
02941,8639.69,3,2
02942,4963.08,4,2
02943,9194.91,5,5
02944,4751.97,4,2
02945,14629.95,7,2
02946,9736.37,10,2
02947,10842.33,10,2
02948,14312.46,5,2
02949,2993.34,4,2
02950,10966.38,6,2
02951,7423.42,10,5
02952,5524.68,7,3
02953,9102.5,5,1
02954,8991.67,2,5
02955,12549.3,9,5
02956,4286.3,1,2
02957,6912.44,2,2
02958,10858.46,2,5
02959,10957.2,2,4
02960,7951.52,10,2
02961,8171.47,2,5
02962,6800.58,5,2
02963,6206.52,10,2
02964,5629.1,1,2
02965,6139.28,4,2
02966,16137.47,3,2
02967,6540.32,5,2
02968,9623.68,6,2
02969,2637.72,4,3
02970,2599.86,4,2
02971,6763.24,5,2
02972,6113.88,10,4
02973,3529.43,4,2
02974,7544.56,5,5
02975,5862.85,1,2
02976,19177.04,3,2
02977,5260.62,1,1
02978,3814.84,4,2
02979,14025.73,5,2
02980,12659.75,7,2
02981,6691.67,10,3
02982,13371.72,2,5
02983,7169.31,10,2
02984,6032.51,4,3
02985,9431.33,10,5
02986,12367.5,5,2
02987,5303.53,4,5
02988,19736.67,2,5
02989,14727.35,3,2
02990,7164.33,5,2
02991,8997.11,5,5
02992,6991.24,1,4
02993,7827.84,7,2
02994,9643.12,3,2
02995,15220.05,3,2
02996,3912.87,1,2
02997,7815.2,7,5
02998,16986.61,3,5
02999,7326.18,10,5
03000,4193.99,4,2
03001,4232.49,4,2
03002,2778.26,4,2
03003,6905.04,7,2
03004,4812.84,1,4
03005,14025.73,5,2
03006,7702.69,10,5
03007,4751.97,4,2
03008,8467.55,3,2
03009,8276.66,10,5
03010,16020.97,3,2
03011,4133.56,1,2
03012,6565.87,5,5
03013,3075.34,4,2
03014,14259.23,3,2
03015,7834.5,2,2
03016,10153.8,5,3
03017,7727.97,10,5
03018,7313.36,10,2
03019,7152.92,3,3
03020,9830.05,5,5
03021,7093.98,10,2
03022,21755.11,3,5
03023,6252.35,5,2
03024,11379.13,3,5
03025,6540.32,5,2
03026,2599.86,4,2
03027,5260.62,1,1
03028,11278.02,6,2
03029,5501.56,4,5
03030,4193.99,4,2
03031,9920.85,5,2
03032,9332.24,10,5
03033,7180.05,5,2
03034,7780.98,5,2
03035,6054.97,5,2
03036,5991.05,5,2
03037,7306,1,2
03038,7834.5,2,2
03039,8372.17,6,2
03040,11549.07,6,3
03041,6064.48,4,2
03042,7744.5,3,3
03043,7341.32,2,2
03044,10659.22,6,2
03045,8562.8,5,2
03046,7093.98,10,2
03047,7316.18,2,5
03048,4232.49,4,2
03049,10235.54,10,4
03050,9901.48,10,2
03051,9396.77,5,2
03052,4184.88,8,4
03053,9737.42,8,2
03054,6506.71,5,2
03055,17351.47,2,2
03056,7582.72,10,3
03057,7364.81,2,2
03058,7549.59,6,2
03059,4751.97,4,2
03060,8995.31,10,2
03061,11849.24,2,3
03062,12659.76,7,2
03063,18522.26,3,2
03064,2778.26,4,2
03065,4305.21,1,2
03066,6583.36,5,5
03067,8405.11,5,2
03068,7834.5,2,2
03069,7025.59,5,4
03070,16762.2,3,3
03071,18384.86,3,2
03072,7341.32,2,2
03073,2778.26,4,2
03074,8345.55,7,2
03075,19092.86,5,2
03076,4751.97,4,2
03077,7264.47,10,2
03078,8416.45,5,5
03079,5447.17,7,3
03080,2778.26,4,2
03081,6763.24,5,2
03082,7191.14,5,4
03083,4357.04,8,2
03084,6464.42,10,3
03085,5535.93,10,3
03086,5313.71,4,2
03087,10215.14,5,2
03088,6787.05,7,4
03089,7604.88,7,2
03090,6027.16,1,2
03091,10423.08,10,2
03092,12116.81,3,4
03093,7607.15,7,5
03094,16137.48,3,2
03095,10277.1,6,2
03096,7525.33,2,4
03097,20518.25,3,4
03098,7326.18,10,5
03099,6576.85,7,2
03100,10858.46,2,5
03101,15220.06,3,2
03102,7667.19,10,5
03103,9511.16,9,2
03104,13602.36,3,2
03105,10329.37,5,3
03106,6297.04,5,2
03107,8324.53,10,2
03108,4929.41,4,2
03109,6041.98,4,4
03110,6182.98,7,3
03111,6900.59,5,5
03112,12747.19,7,1
03113,7169.31,10,2
03114,11330.02,8,2
03115,5311.62,8,2
03116,15864.36,2,2
03117,20582.94,2,2
03118,17970.21,3,1
03119,7577.54,7,2
03120,6910.33,5,2
03121,29412.13,3,5
03122,7093.98,10,2
03123,6513.94,7,3
03124,6297.04,5,2
03125,7577.54,7,2
03126,14567.19,9,2
03127,8458.37,5,2
03128,4559.17,8,2
03129,7476.81,5,2
03130,7169.31,10,2
03131,13851.28,10,2
03132,11256.05,3,2
03133,8299.7,2,1
03134,17923.34,5,2
03135,6792.34,4,5
03136,6004.19,5,2
03137,9121.98,2,4
03138,8827.7,7,2
03139,5878.4,5,2
03140,7571.03,10,2
03141,6858.53,10,2
03142,2935.68,4,2
03143,11655,10,2
03144,3912.87,1,2
03145,6711.25,5,2
03146,6206.52,10,2
03147,12253.98,5,4
03148,7503.02,10,2
03149,9229.51,7,2
03150,13388.73,5,5
03151,6644.69,5,2
03152,9986.67,6,2
03153,6800.58,5,2
03154,7100.19,2,5
03155,7140.04,10,4
03156,9673.88,5,2
03157,6252.35,5,2
03158,8518.84,1,3
03159,2814.88,4,2
03160,6418.68,5,2
03161,16762.2,3,3
03162,6905.04,7,2
03163,7925.49,2,2
03164,7706.01,5,5
03165,3514.9,4,5
03166,9831.74,1,5
03167,25234.46,2,4
03168,7756.87,7,2
03169,5518.22,1,3
03170,6557.73,5,2
03171,10007.99,9,1
03172,5600.99,8,2
03173,6007.78,7,3
03174,16630.16,7,2
03175,5629.1,1,2
03176,7951.52,10,2
03177,6453.26,5,2
03178,6297.04,5,2
03179,6936.83,10,2
03180,6398.48,10,2
03181,23412.85,2,2
03182,5991.05,5,2
03183,8605.66,6,5
03184,15622.34,5,2
03185,10063.79,2,2
03186,13789.31,3,4
03187,7033.05,7,2
03188,13784.34,9,1
03189,10651.14,10,5
03190,9296.32,5,1
03191,3641.31,3,2
03192,8316.47,3,2
03193,10016.75,3,2
03194,6904.97,5,2
03195,8854.25,8,5
03196,5126.84,4,2
03197,7264.47,10,2
03198,22662.62,2,2
03199,7305.68,10,2
03200,7854.16,1,2
03201,14918.45,5,2
03202,4120.26,1,2
03203,5252.49,2,3
03204,6936.83,10,2
03205,10788.65,4,2
03206,7707.69,5,2
03207,3512.47,4,2
03208,10764.58,1,4
03209,5629.1,1,2
03210,6416.73,6,3
03211,6986.17,4,2
03212,11366.22,7,2
03213,5639.39,1,2
03214,6262.76,1,5
03215,11330.02,8,2
03216,6873.74,5,2
03217,11174.23,1,2
03218,2913.74,4,2
03219,10371.76,2,5
03220,18816.13,9,2
03221,6454.55,1,4
03222,15075.45,7,2
03223,6344.82,5,4
03224,35769.04,7,2
03225,6612.77,5,2
03226,2673.74,4,2
03227,4420.52,4,2
03228,14727.35,3,2
03229,6717.35,4,2
03230,9229.28,5,2
03231,23308.43,9,2
03232,10550.9,9,2
03233,5545.55,4,2
03234,3286.37,4,2
03235,9668.59,9,2
03236,4089.6,1,3
03237,6252.35,5,2
03238,8465.26,3,2
03239,7608.96,10,3
03240,3409.68,4,2
03241,7277.9,5,3
03242,7326.18,10,5
03243,7489.17,7,2
03244,14918.45,5,2
03245,6861.29,5,2
03246,6872.65,1,2
03247,8877.69,10,2
03248,4133.56,1,2
03249,2529.18,4,3
03250,13170,3,2
03251,12550.17,2,2
03252,7503.02,10,2
03253,2599.86,4,2
03254,7955.4,2,2
03255,7737.78,1,2
03256,6206.52,10,2
03257,5621.06,4,2
03258,7313.36,10,2
03259,4232.49,4,2
03260,7747.08,10,3
03261,9242.95,5,2
03262,4751.97,4,2
03263,5403.9,9,5
03264,5910.58,10,3
03265,17351.45,2,2
03266,4697.21,4,2
03267,6035.85,4,5
03268,6583.36,5,5
03269,9539.46,9,2
03270,6576.85,7,2
03271,7401.83,10,2
03272,8050.41,5,2
03273,14563.97,3,2
03274,14918.45,5,2
03275,13894.74,5,2
03276,6590.83,5,5
03277,21905,2,5
03278,10252.69,2,5
03279,13336.62,5,2
03280,7364.81,2,2
03281,13331.55,7,2
03282,9750.45,6,2
03283,16847.45,3,2
03284,6792.48,5,2
03285,6910.33,5,2
03286,11174.23,1,2
03287,7169.31,10,2
03288,13894.74,5,2
03289,5388.83,4,2
03290,4751.97,4,2
03291,15075.45,7,2
03292,7169.31,10,2
03293,10576.37,9,2
03294,16137.47,3,2
03295,4316.13,4,2
03296,4232.49,4,2
03297,17193.87,3,2
03298,5871.21,1,5
03299,19500.08,3,5
03300,8345.55,7,2
03301,6763.24,5,2
03302,14641.14,7,2
03303,6698.86,5,4
03304,9244.79,4,2
03305,6800.58,5,2
03306,7263.07,7,4
03307,9984.58,5,1
03308,3149.36,4,2
03309,20518.27,3,4
03310,15623.27,2,2
03311,5795.56,1,5
03312,8230.33,10,5
03313,33021.9,5,2
03314,10703.35,6,2
03315,12238.28,2,4
03316,7264.47,10,2
03317,8122.52,10,5
03318,4751.97,4,2
03319,6932.01,7,5
03320,5388.83,4,2
03321,3991.1,1,2
03322,3286.37,4,2
03323,8338.29,4,2
03324,7215.88,2,2
03325,7085.26,10,3
03326,4286.3,1,2
03327,7169.31,10,2
03328,3329.69,4,2
03329,3079.47,4,3
03330,4751.97,4,2
03331,20518.27,3,4
03332,12550.18,2,2
03333,8646.42,5,2
03334,7955.39,2,2
03335,4232.49,4,2
03336,12952.41,5,2
03337,7229.75,2,2
03338,8802.19,10,2
03339,7313.36,10,2
03340,6989.1,5,2
03341,7664.17,10,1
03342,14390.54,2,4
03343,7788.02,7,2
03344,12872.7,2,2
03345,4912.4,8,2
03346,17909.78,5,5
03347,7707.69,5,2
03348,9154.92,7,5
03349,16371.42,5,2
03350,6789.66,5,5
03351,7737.81,5,5
03352,7305.36,10,2
03353,15220.06,3,2
03354,6373.55,1,2
03355,2935.68,4,2
03356,5104.17,4,5
03357,4751.97,4,2
03358,3242.22,4,2
03359,5746.67,2,3
03360,15760.33,3,5
03361,5756.09,4,2
03362,9242.95,5,2
03363,5939.33,8,1
03364,8274.02,2,4
03365,14549.08,5,2
03366,13155.68,8,2
03367,6364.18,8,4
03368,10807.79,9,5
03369,7549.59,6,2
03370,15767.77,5,5
03371,4751.97,4,2
03372,4634.22,4,2
03373,7784.79,7,2
03374,14249.48,7,2
03375,8862.19,7,5
03376,4751.97,4,2
03377,15560.51,3,2
03378,12280.59,9,2
03379,8236.3,10,2
03380,10491.68,10,5
03381,21159.96,3,2
03382,7634.59,7,5
03383,7872.64,5,5
03384,24081.28,3,5
03385,14563.96,3,2
03386,8530.07,7,2
03387,5955.06,8,2
03388,16295.25,2,5
03389,16521.91,3,2
03390,8233.69,2,1
03391,10959.04,6,2
03392,4027.46,1,3
03393,9836.37,5,2
03394,8994.79,10,5
03395,1380.99,5,2
03396,2778.26,4,2
03397,5621.06,4,2
03398,6822.47,10,4
03399,9979.94,7,2
03400,8345.55,7,2
03401,7215.88,2,2
03402,13117.18,3,2
03403,6992.06,10,5
03404,12095.04,2,2
03405,13117.18,3,2
03406,6356.48,1,4
03407,12026.38,6,2
03408,5878.4,5,2
03409,9645.29,3,2
03410,7715.6,2,5
03411,12800.53,2,3
03412,12454.4,2,2
03413,5144.74,8,2
03414,12018.12,9,2
03415,4552.89,5,3
03416,15489.58,2,2
03417,6471.9,1,2
03418,10062.81,2,5
03419,3991.1,1,2
03420,8710.49,7,2
03421,17760.97,2,4
03422,4197.34,1,2
03423,8101.63,7,2
03424,4625.22,1,2
03425,4702.48,4,2
03426,6277.22,10,4
03427,7240.78,5,2
03428,6873.74,5,2
03429,8437.95,5,5
03430,10063.59,6,2
03431,12367.41,10,5
03432,7983.08,7,2
03433,15966.07,5,2
03434,7620.12,10,2
03435,15551.42,5,2
03436,13181.18,10,4
03437,16272.05,2,2
03438,16178.31,3,1
03439,10166.72,9,2
03440,9909.89,2,5
03441,12921.65,10,4
03442,7169.31,10,2
03443,7169.31,10,2
03444,7096.84,7,2
03445,6873.74,5,2
03446,7955.39,2,2
03447,13117.18,3,2
03448,17552.96,2,2
03449,5753.39,1,5
03450,5862.86,1,2
03451,7834.5,2,2
03452,10545,9,2
03453,3971.17,4,5
03454,27186.44,6,2
03455,6506.71,5,2
03456,16695.13,7,5
03457,7577.54,7,2
03458,8263.64,5,2
03459,3286.37,4,2
03460,6858.53,10,2
03461,4133.56,1,2
03462,25503.15,6,2
03463,6858.53,10,2
03464,18130.15,3,4
03465,7229.76,2,2
03466,3487.09,4,4
03467,11638.26,1,2
03468,2673.74,4,2
03469,8345.55,7,2
03470,2935.68,4,2
03471,3901.34,4,2
03472,7526.24,2,5
03473,4132.53,4,2
03474,7232.63,2,2
03475,7707.69,5,2
03476,11145.47,6,1
03477,4751.97,4,2
03478,9263.27,10,2
03479,2969.4,4,2
03480,7232.63,2,2
03481,9217.16,5,2
03482,6004.19,5,2
03483,5019.89,8,5
03484,10560.97,6,2
03485,6050.4,8,2
03486,6766.63,2,5
03487,14326.97,3,3
03488,4640.13,5,3
03489,19048.04,5,2
03490,14563.96,3,2
03491,7341.32,2,2
03492,1853.88,1,5
03493,10807.79,9,5
03494,19177.04,3,2
03495,8244.45,10,2
03496,5053.24,4,2
03497,2778.26,4,2
03498,5830.56,1,5
03499,7148.18,5,3
03500,9327.16,2,2
03501,17609.88,2,2
03502,5717.72,10,3
03503,23813.51,7,1
03504,3474.34,8,3
03505,10147.7,5,1
03506,15489.58,2,2
03507,15489.57,2,2
03508,7510.48,9,2
03509,16137.48,3,2
03510,6800.58,5,2
03511,4751.97,4,2
03512,2935.68,4,2
03513,4738.62,1,4
03514,10011.77,6,2
03515,7229.76,2,2
03516,6506.71,5,2
03517,6540.32,5,2
03518,7305.37,10,2
03519,7025.59,5,4
03520,7438.94,2,4
03521,6631.99,5,3
03522,4751.97,4,2
03523,2676.1,4,2
03524,5414.54,1,2
03525,11148.22,2,4
03526,8997.11,5,5
03527,13035.57,7,5
03528,6373.55,1,2
03529,9263.26,10,2
03530,8284.87,6,2
03531,12046.39,3,2
03532,15489.57,2,2
03533,7049.08,4,2
03534,4751.97,4,2
03535,8179.59,6,3
03536,13117.18,3,2
03537,10215.14,5,2
03538,6311.3,4,2
03539,6854.84,8,5
03540,10255.94,7,5
03541,15220.06,3,2
03542,4751.97,4,2
03543,5006.56,4,2
03544,8277.02,10,5
03545,18408.61,6,1
03546,4905.89,4,2
03547,3979.09,4,2
03548,6540.32,5,2
03549,10046.69,6,2
03550,11739.08,10,4
03551,7604.88,7,2
03552,9242.95,5,2
03553,11362.76,6,2
03554,9121.98,2,4
03555,4020.19,4,3
03556,5128.66,8,2
03557,7449.89,2,5
03558,6139.28,4,2
03559,7330.74,10,4
03560,6466.42,10,2
03561,8787.68,5,2
03562,8482.51,10,2
03563,6912.44,2,2
03564,6466.42,10,2
03565,10062.81,2,5
03566,16951.04,2,2
03567,7536.41,2,5
03568,6049.8,4,5
03569,7528.45,4,5
03570,2673.74,4,2
03571,11036.74,5,2
03572,13799.92,5,2
03573,7313.36,10,2
03574,8938.96,5,1
03575,6343.75,10,3
03576,6798.75,10,2
03577,2935.68,4,2
03578,11635.65,10,5
03579,5906.02,4,2
03580,6506.7,5,2
03581,13757.86,10,5
03582,6766.63,2,5
03583,7715.6,2,5
03584,5991.05,5,2
03585,4622.78,4,3
03586,10062.81,2,5
03587,5267.13,5,3
03588,9620.35,9,1
03589,17420.83,3,2
03590,9118.84,1,5
03591,7229.76,2,2
03592,8244.45,10,2
03593,5710.6,1,5
03594,7942.96,10,3
03595,5414.54,1,2
03596,7562.5,10,2
03597,7702.69,10,5
03598,8640.83,10,1
03599,7264.47,10,2
03600,5463.41,10,3
03601,14797.17,3,2
03602,8244.45,10,2
03603,15307.73,3,2
03604,7327.23,2,2
03605,3514.9,4,5
03606,9469.54,6,2
03607,8810.31,4,1
03608,7164.33,5,2
03609,9870.34,10,5
03610,10277.1,6,2
03611,7921.8,10,4
03612,6466.42,10,2
03613,10788.65,4,2
03614,8884.94,3,5
03615,7240.77,5,2
03616,7009.47,7,2
03617,7133.12,7,2
03618,6004.19,5,2
03619,9737.42,8,2
03620,5810.55,8,5
03621,3003.07,1,3
03622,11362.76,6,2
03623,2855.87,4,3
03624,4697.21,4,2
03625,2969.4,4,2
03626,4224,4,2
03627,6861.29,5,2
03628,7554.08,2,2
03629,14581.35,6,1
03630,14591.87,3,2
03631,18027.82,7,2
03632,7073.49,2,5
03633,11689.54,3,2
03634,6297.04,5,2
03635,3958.32,1,2
03636,14793,5,2
03637,17933.92,7,2
03638,7093.98,10,2
03639,7937.43,7,2
03640,6858.53,10,2
03641,33546.59,7,4
03642,7853.58,10,3
03643,15376.07,3,2
03644,15282.67,9,1
03645,14025.73,5,2
03646,14727.35,3,2
03647,6054.97,5,2
03648,14727.35,3,2
03649,3357.17,4,5
03650,16371.42,5,2
03651,7251.15,10,4
03652,6171.51,10,2
03653,16093.04,3,5
03654,13791.18,7,5
03655,9052.86,10,5
03656,4751.97,4,2
03657,13538.33,6,1
03658,11968.55,5,2
03659,6206.52,10,2
03660,9853.85,5,2
03661,8025.58,5,2
03662,11079.64,6,2
03663,11231.56,2,2
03664,15265.02,3,2
03665,4089.6,1,3
03666,10036.89,10,5
03667,14435.21,1,4
03668,19736.86,2,2
03669,8989.58,5,5
03670,11330.02,8,2
03671,7841.82,5,4
03672,2969.4,4,2
03673,17888.36,3,2
03674,12141.53,5,3
03675,7232.63,2,2
03676,11331.06,7,3
03677,2993.34,4,2
03678,9623.68,6,2
03679,10545,9,2
03680,4751.97,4,2
03681,8050.4,5,2
03682,3901.34,4,2
03683,11009.22,6,5
03684,7526.24,2,5
03685,6453.26,5,2
03686,4812.84,1,4
03687,23066.45,3,5
03688,6822.46,10,4
03689,7090.41,5,2
03690,7604.88,7,2
03691,11362.76,6,2
03692,6466.42,10,2
03693,15810.32,10,2
03694,14080.54,5,5
03695,7169.31,10,2
03696,7180.05,5,2
03697,7264.47,10,2
03698,3912.87,1,2
03699,9578.77,5,3
03700,8640.83,10,1
03701,10310.21,5,2
03702,5865.93,8,5
03703,6576.85,7,2
03704,9488.1,10,5
03705,18497.46,3,5
03706,7530.25,5,2
03707,8115.95,4,2
03708,14305.15,7,5
03709,4133.56,1,2
03710,7489.17,7,2
03711,6321.64,5,5
03712,8401.7,2,4
03713,4650.31,5,3
03714,11253.33,2,3
03715,16010.78,5,5
03716,18117.11,5,2
03717,14563.97,3,2
03718,7136.88,10,2
03719,6540.32,5,2
03720,13170,3,2
03721,8815.12,10,4
03722,13421.73,5,4
03723,15738.64,5,5
03724,8668.11,10,5
03725,16020.97,3,2
03726,12679.94,3,2
03727,14727.35,3,2
03728,15213.44,7,5
03729,12752.4,2,3
03730,7169.31,10,2
03731,7016.4,5,5
03732,6506.7,5,2
03733,2855.87,4,3
03734,11330.02,8,2
03735,6506.71,5,2
03736,10145.96,3,4
03737,6297.04,5,2
03738,8219.89,5,2
03739,6252.35,5,2
03740,8236.3,10,2
03741,5565.54,8,5
03742,15075.45,7,2
03743,9244.79,4,2
03744,12275.49,2,4
03745,8214.69,5,2
03746,4286.3,1,2
03747,6767.42,10,2
03748,6893.97,7,5
03749,16137.47,3,2
03750,5079.04,5,3
03751,12550.17,2,2
03752,10147.7,5,1
03753,8416.45,5,5
03754,10215.14,5,2
03755,8955.85,7,2
03756,8324.53,10,2
03757,7526.24,2,5
03758,7962.72,3,2
03759,4268.26,8,3
03760,4622.78,4,3
03761,8787.33,10,5
03762,9008.73,10,5
03763,15942.39,7,2
03764,9087.68,2,4
03765,8345.55,7,2
03766,6356.48,1,4
03767,7164.33,5,2
03768,7667.19,10,5
03769,15489.58,2,2
03770,5463.41,10,3
03771,9713.21,6,2
03772,15359.29,3,2
03773,8465.65,3,2
03774,9673.88,5,2
03775,5463.41,10,3
03776,11337.89,1,2
03777,8133.28,7,5
03778,9130.42,2,5
03779,10344.9,9,2
03780,13155.68,8,2
03781,3909.18,4,2
03782,11618.38,10,5
03783,11366.22,7,2
03784,7313.35,10,2
03785,6936.83,10,2
03786,4133.56,1,2
03787,11156.37,9,2
03788,7559.64,2,2
03789,5211.02,4,1
03790,4634.22,4,2
03791,4009.57,10,3
03792,11637.03,5,1
03793,9713.21,6,2
03794,7577.54,7,2
03795,10225.24,10,1
03796,10249.22,7,2
03797,7169.31,10,2
03798,15658.49,3,2
03799,9446.51,10,2
03800,13046.4,10,2
03801,10842.33,10,2
03802,4751.97,4,2
03803,14911.43,6,2
03804,12593.87,5,2
03805,6253.9,1,5
03806,5870.43,10,3
03807,8542.98,7,2
03808,16186.35,3,2
03809,4224,4,2
03810,4610.74,8,3
03811,2935.68,4,2
03812,7537.76,10,2
03813,10701.21,2,3
03814,8345.55,7,2
03815,6851.71,4,4
03816,2676.1,4,2
03817,7530.25,5,2
03818,10643.58,6,2
03819,11233.32,2,4
03820,6698.86,5,4
03821,7634.59,7,5
03822,9008.73,10,5
03823,4088.05,1,2
03824,4812.84,1,4
03825,2970.01,1,3
03826,6717.35,4,2
03827,9718.23,10,1
03828,21863.88,8,1
03829,10046.69,6,2
03830,8594.51,10,2
03831,6373.55,1,2
03832,16232.36,5,4
03833,8646.42,5,2
03834,6079.23,4,2
03835,7960.93,3,2
03836,10781.76,9,5
03837,7577.54,7,2
03838,6692.94,8,3
03839,5211.54,10,2
03840,9709.41,7,1
03841,8046.19,6,2
03842,5879.42,4,4
03843,10601.25,6,4
03844,10148.46,7,3
03845,6014.3,4,5
03846,11723.89,6,2
03847,9340.6,10,5
03848,8815.12,10,4
03849,23066.45,3,5
03850,8316.47,3,2
03851,15305.11,10,4
03852,5126.84,4,2
03853,32038.14,3,2
03854,7169.31,10,2
03855,6016.64,4,1
03856,5512.6,4,5
03857,9396.77,5,2
03858,7229.76,2,2
03859,7720.4,10,2
03860,8050.4,5,2
03861,11174.23,1,2
03862,7937.43,7,2
03863,7341.32,2,2
03864,6398.48,10,2
03865,18699.36,2,5
03866,12469.42,6,2
03867,4224,4,2
03868,17642.42,5,2
03869,10219.8,3,2
03870,6980.1,9,5
03871,8405.11,5,2
03872,11330.02,8,2
03873,10865.61,10,2
03874,6469.84,10,4
03875,17649.62,10,5
03876,6004.19,5,2
03877,6297.04,5,2
03878,13546.21,5,1
03879,6466.42,10,2
03880,10669.31,7,2
03881,8426.01,5,5
03882,11056.27,7,1
03883,6873.74,5,2
03884,10491.68,10,5
03885,7139.73,4,5
03886,23556.91,3,2
03887,7756.87,7,2
03888,12484.67,9,1
03889,6858.53,10,2
03890,9737.42,8,2
03891,2676.1,4,2
03892,10990.73,6,5
03893,8599.17,10,2
03894,4912.4,8,2
03895,12469.42,6,2
03896,16300.72,5,2
03897,6062.96,4,4
03898,6789.66,5,5
03899,7303,7,5
03900,6912.44,2,2
03901,9713.22,6,2
03902,8101.63,7,2
03903,2935.68,4,2
03904,6297.04,5,2
03905,9742.49,10,5
03906,9119.29,7,2
03907,18692.3,5,1
03908,7962.72,3,2
03909,6093.54,1,4
03910,11095.84,9,1
03911,6612.77,5,2
03912,7659.16,5,2
03913,16342.29,7,2
03914,10384.71,2,3
03915,9661.28,6,5
03916,7492.52,5,3
03917,14733.41,3,2
03918,3909.18,4,2
03919,6904.97,5,2
03920,8064.03,5,2
03921,4622.78,4,3
03922,29201.6,7,2
03923,11636.39,10,5
03924,17831.41,10,2
03925,10550.9,9,2
03926,5879.42,4,4
03927,5053.24,4,2
03928,5629.1,1,2
03929,5991.05,5,2
03930,5970.28,5,4
03931,3773.97,4,2
03932,6252.35,5,2
03933,8284.87,6,2
03934,3975.02,4,3
03935,10576.37,9,2
03936,4929.41,4,2
03937,8122.52,10,5
03938,12407.57,2,2
03939,11253.33,2,3
03940,10046.68,6,2
03941,7960.93,3,2
03942,10550.9,9,2
03943,2599.86,4,2
03944,6252.35,5,2
03945,15968.11,3,2
03946,9121.98,2,4
03947,13641.13,6,5
03948,11546.41,5,1
03949,5535.93,10,3
03950,23239.75,6,2
03951,7634.59,7,5
03952,9170.44,6,2
03953,10153.98,9,3
03954,2778.26,4,2
03955,6792.48,5,2
03956,5334.31,1,2
03957,11079.64,6,2
03958,6900.46,10,5
03959,7960.93,3,2
03960,11568.4,5,2
03961,15648.48,5,4
03962,10460.35,10,5
03963,17840.08,5,2
03964,4314.2,8,3
03965,7093.98,10,2
03966,3425.94,4,2
03967,6252.35,5,2
03968,8170.88,4,2
03969,8393.98,10,2
03970,6663.81,2,5
03971,15489.57,2,2
03972,5694.47,1,2
03973,6054.97,5,2
03974,6182.79,8,5
03975,17872.51,6,1
03976,18696.45,3,2
03977,14025.74,5,2
03978,17230.63,3,2
03979,7619.93,10,4
03980,9673.87,5,2
03981,7343.83,2,3
03982,6193.32,10,2
03983,7983.08,7,2
03984,7634.59,7,5
03985,10249.22,7,2
03986,19811.15,2,5
03987,5991.05,5,2
03988,15220.05,3,2
03989,7303,7,5
03990,20580.42,3,4
03991,6589.42,10,2
03992,7102.61,6,3
03993,13631.19,5,2
03994,21478.82,5,1
03995,6913.06,10,1
03996,6026.67,10,2
03997,7855.41,10,3
03998,7718.02,7,2
03999,5746.67,2,3
04000,2935.68,4,2
04001,15054.52,10,2
04002,10270.16,10,2
04003,16613.48,7,2
04004,8218.57,7,2
04005,7871.98,10,5
04006,5991.05,5,2
04007,12102.54,10,1
04008,6712.75,10,1
04009,7797.72,5,4
04010,13971.39,5,2
04011,8771.76,5,2
04012,7511.58,2,2
04013,6576.85,7,2
04014,5314.25,1,2
04015,7204.59,5,2
04016,12274.64,9,5
04017,14073.52,7,5
04018,6827.15,5,5
04019,11330.03,8,2
04020,5763.04,10,3
04021,13331.55,7,2
04022,10063.79,2,2
04023,2935.68,4,2
04024,6991.24,1,4
04025,7834.5,2,2
04026,2742.57,4,2
04027,7169.31,10,2
04028,4555.89,1,4
04029,7033.04,7,2
04030,6789.66,5,5
04031,6602.54,7,5
04032,6050.4,8,2
04033,16873.13,10,1
04034,7608.05,10,2
04035,23136.32,3,5
04036,3078.22,4,3
04037,15489.58,2,2
04038,10256.72,6,2
04039,2778.26,4,2
04040,4184.88,8,4
04041,7503.02,10,2
04042,17230.63,3,2
04043,5487.78,4,2
04044,7577.54,7,2
04045,10858.46,2,5
04046,7562.5,10,2
04047,6328.33,4,4
04048,6858.53,10,2
04049,5929.24,5,2
04050,7937.43,7,2
04051,10666.07,9,1
04052,14549.08,5,2
04053,29834.22,6,2
04054,2778.26,4,2
04055,7937.43,7,2
04056,10325.43,7,3
04057,14445.41,2,2
04058,6027.16,1,2
04059,8957.05,10,5
04060,10062.81,2,5
04061,16309.81,2,2
04062,9737.42,8,2
04063,11192.01,2,5
04064,7489.17,7,2
04065,5414.54,1,2
04066,2778.26,4,2
04067,8236.3,10,2
04068,4879.96,10,3
04069,6861.29,5,2
04070,9244.79,4,2
04071,7834.5,2,2
04072,7169.31,10,2
04073,8862.19,7,5
04074,6822.46,10,4
04075,21693.37,2,2
04076,7217.39,7,2
04077,11463.74,3,2
04078,18415.19,2,5
04079,9986.67,6,2
04080,4224,4,2
04081,6297.04,5,2
04082,8122.52,10,5
04083,7299.68,2,2
04084,7196.63,10,4
04085,17562.62,7,2
